"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","taxa","length","width","mass","eggs","metadataID","updateID"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.125,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.141,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.112,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.108,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.171,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.168,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.148,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.141,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.13,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.1,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.138,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.164,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.106,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.175,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.272,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.17,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.112,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.177,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.185,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.108,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,"2020-06-04 10:45","tow",0,8,"nauplii",0.135,NA,NA,NA,"zoopCounts.20191212","longZoops_2020.20201123"
