Run Number:,reruns,...3,Date:,20210419,...6,Initials:,RN,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39
ENTER SCAN DATA HERE,Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,0,200,400,600,800,1000,2000,U81,U138,U148,U188,U187,U174,U173,U172,U169,U168,U167,U166,U165,U164,U162,U161,U159,U153,U152,U151,U146,U142,U104,U103,U102,U100,U6,U5,U4,U3,U2
209,-3.5459391018629466E-4,-0.000583466092931286,-0.000822925155217633,-0.00103076813664307,-0.00134867025705608,-0.00170813994113429,-0.00368563793233913,-1.4782513302687497E-3,-1.1162846614963945E-3,-1.1682351255074483E-3,-1.1704242882895274E-3,-8.2835864761134775E-4,-1.1883007713478499E-3,-8.5445811314840969E-4,-9.0797156099838711E-4,-3.0671941829910343E-3,-1.1577328259642083E-3,-8.5765358764402361E-4,-1.2515835885960128E-3,-9.8150866013017868E-4,-1.5411214074331006E-3,-1.1516402408769388E-3,-1.5109604837236015E-3,-8.5354552733547806E-4,-9.8806703228223464E-4,-8.3395103920528429E-4,-7.6606256725262126E-4,-2.2109626943914162E-3,-8.1257122435327706E-4,-2.4793225663422291E-3,-1.4261123418553498E-3,-1.0392009216776132E-3,-1.0083206485314231E-3,-2.0729905245295138E-3,-1.4081709271037343E-3,-9.537834610716181E-4,-1.1366825236363426E-3,-7.6560960064292471E-4
210,-2.4281634408002475E-4,-0.00044854364415706,-0.000668388383897413,-0.00086090683522666,-0.00115413547089023,-0.00148773039918559,-0.00334273140473654,-1.2770301315236654E-3,-9.4002719076288072E-4,-9.8955509627038363E-4,-9.9180624357553954E-4,-6.7474842587115363E-4,-1.008581908967375E-3,-6.9902819393978521E-4,-7.4808452468803216E-4,-2.7668479231919701E-3,-9.8033288042461558E-4,-7.0229988282185379E-4,-1.0684689676581025E-3,-8.1633730656852088E-4,-1.3378648664838649E-3,-9.7349675870217478E-4,-1.3067520249030254E-3,-6.9866751994591275E-4,-8.2189278160370999E-4,-6.8107777245629553E-4,-6.1889112884909794E-4,-1.9622648397200765E-3,-6.6075259002230935E-4,-2.2137053257120856E-3,-1.2297411098967648E-3,-8.6878953941472992E-4,-8.4089953844355275E-4,-1.8328433052905088E-3,-1.215491543351245E-3,-7.917513695200884E-4,-9.6094754274788502E-4,-6.1947039259623027E-4
211,-1.3103877797375832E-4,-0.000313621195382835,-0.0005138516125772,-0.000691045533810247,-0.000959600684724379,-0.0012673208572369,-0.00299982487713396,-1.0758089327785811E-3,-7.6376972002936E-4,-8.108750670333259E-4,-8.131881988615447E-4,-5.2113820413096645E-4,-8.2886304658689319E-4,-5.4359827473116074E-4,-5.8819748837768415E-4,-2.4665016633929199E-3,-8.0293293488502282E-4,-5.4694617799967704E-4,-8.853543467201852E-4,-6.5116595300687002E-4,-1.1346083255346362E-3,-7.9535327652741072E-4,-1.1025435660824492E-3,-5.4378951255634744E-4,-6.5571853092518534E-4,-5.2820450570729982E-4,-4.7171969044557463E-4,-1.7135669850487367E-3,-5.0893395569133471E-4,-1.948088085081949E-3,-1.0333698779381728E-3,-6.9837815715184659E-4,-6.7347842835568245E-4,-1.5926960860515038E-3,-1.0228121595987488E-3,-6.297192779685587E-4,-7.8521256185942745E-4,-4.7333118454953582E-4
212,-1.9261211867491884E-5,-0.000178698746608613,-0.00035931484125698,-0.000521184232393834,-0.000765065898558535,-0.0010469113152882,-0.00265691834953138,-8.7458773403350371E-4,-5.8751224929584622E-4,-6.3219503779626124E-4,-6.3457015414754986E-4,-3.6752798239077927E-4,-6.4914418420641828E-4,-3.8816835552253626E-4,-4.2831045206732921E-4,-2.1661554035938557E-3,-6.2553298934543006E-4,-3.9159247317750723E-4,-7.0223972578227489E-4,-4.8599459944521223E-4,-9.3135178458540052E-4,-6.1720979435264667E-4,-8.983351072618731E-4,-3.8891150516678907E-4,-4.8954428024666069E-4,-3.7533123895831105E-4,-3.2454825204205132E-4,-1.46486913037739E-3,-3.57115321360367E-4,-1.6824708444518124E-3,-8.3699864597958779E-4,-5.2796677488896326E-4,-5.060573182678052E-4,-1.3525488668124988E-3,-8.3013277584625955E-4,-4.67687186417029E-4,-6.0947758097096988E-4,-3.2719197650283791E-4
213,9.2516354238774551E-5,-0.0000437762978343879,-0.000204778069936767,-0.000351322930977428,-0.000570531112392685,-0.000826501773339511,-0.00231401182192881,-6.7336653528841939E-4,-4.1125477856232551E-4,-4.5351500855919658E-4,-4.5595210943355502E-4,-2.1391776065058515E-4,-4.6942532182594338E-4,-2.3273843631391178E-4,-2.684234157569812E-4,-1.8658091437948054E-3,-4.4813304380583036E-4,-2.3623876835533048E-4,-5.1912510484436458E-4,-3.2082324588355443E-4,-7.2809524363617178E-4,-4.3906631217788261E-4,-6.9412664844129696E-4,-2.3403349777722376E-4,-3.2337002956813604E-4,-2.2245797220932229E-4,-1.7737681363852453E-4,-1.2161712757060503E-3,-2.0529668702939236E-4,-1.4168536038216759E-3,-6.4062741402100276E-4,-3.5755539262607994E-4,-3.3863620817993489E-4,-1.1124016475734869E-3,-6.3745339209376334E-4,-3.0565509486550624E-4,-4.3374260008251231E-4,-1.8105276845614346E-4
214,2.0429392034504099E-4,0.0000911461509398373,-0.0000502412986165476,-0.000181461629561015,-0.000375996326226834,-0.000606092231390812,-0.00197110529432623,-4.7214533654333507E-4,-2.3499730782881173E-4,-2.7483497932213885E-4,-2.7733406471956712E-4,-6.0307538910397973E-5,-2.8970645944546847E-4,-7.73085171052873E-5,-1.0853637944662625E-4,-1.5654628839957413E-3,-2.7073309826623759E-4,-8.0885063533160662E-5,-3.3601048390645427E-4,-1.5565189232189663E-4,-5.2483870268693611E-4,-2.6092283000311856E-4,-4.8991818962072081E-4,-7.9155490387665395E-5,-1.5719577888961139E-4,-6.9584705460333518E-5,-3.0205375235001219E-5,-9.6747342103471051E-4,-5.347805269842465E-5,-1.1512363631915393E-3,-4.442561820624108E-4,-1.8714401036319661E-4,-1.7121509809206459E-4,-8.7225442833448186E-4,-4.4477400834127406E-4,-1.4362300331397654E-4,-2.5800761919405474E-4,-3.4913560409445543E-5
215,3.1607148645131089E-4,0.000226068599714063,0.000104295472703672,-0.0000116003281446023,-0.00018146154006099,-0.00038568268944212,-0.00162819876672365,-2.7092413779825769E-4,-5.8739837095291014E-5,-9.6154950085074187E-5,-9.871602000557228E-5,9.3302682829789207E-5,-1.0998759706499356E-4,7.8121402103337179E-5,5.1350656863721755E-5,-1.265116624196691E-3,-9.333315272664483E-5,7.4468641289016091E-5,-1.5289586296853702E-4,9.5194612397611622E-6,-3.2158216173770737E-4,-8.2779347828354499E-5,-2.8570973080014467E-4,7.5722517001899914E-5,8.9784717889132559E-6,8.3288561288662188E-5,1.1696606316852209E-4,-7.1877556636337075E-4,9.8340581632549995E-5,-8.8561912256140268E-4,-2.4788495010382577E-4,-1.6732628100313285E-5,-3.7939880041873431E-6,-6.3210720909547685E-4,-2.5209462458877785E-4,1.8409088237553162E-5,-8.2272638305604107E-5,1.112256476372489E-4
216,4.2784905255757733E-4,0.000360991048488288,0.000258832244023885,0.000158260973271811,0.000013073246104861,-0.000165273147493428,-0.00128529223912108,-6.9702939053173374E-5,1.1751763363822276E-4,8.2525079151990477E-5,7.9902024708422559E-5,2.4691290456998333E-4,6.9731265315488289E-5,2.3355132131196166E-4,2.112376931740767E-4,-9.6477036439762687E-4,8.4066792812947932E-5,2.2982234611119284E-4,3.0218757969373289E-5,1.7469081480141896E-4,-1.183256207884717E-4,9.5364134346409557E-5,-8.1501271979561585E-5,2.3060052439146522E-4,1.751527224674379E-4,2.3616182803765096E-4,2.6413750157204541E-4,-4.70077711692031E-4,2.501592159635177E-4,-6.200018819312661E-4,-5.1513718145233811E-5,1.5367875416257004E-4,1.6362712208368296E-4,-3.9195998985646491E-4,-5.9415240836288574E-5,1.8044117978907592E-4,9.3462342582853464E-5,2.5736485568394335E-4
217,5.3962661866384376E-4,0.000495913497262513,0.000413369015344105,0.000328122274688217,0.000207608032270712,0.0000551363944552713,-0.000942385711518501,1.3151825969191094E-4,2.9377510437174348E-4,2.612051083890482E-4,2.585200694224174E-4,4.0052312631017051E-4,2.494501276959632E-4,3.889812405205792E-4,3.7112472948442471E-4,-6.6442410459857659E-4,2.614667383525407E-4,3.8517605093336266E-4,2.133333789072836E-4,3.3986216836307676E-4,8.493092016075704E-5,2.7350761652117361E-4,1.2270718684101456E-4,3.8547853178102359E-4,3.4132697314596255E-4,3.8903509478663972E-4,4.1130893997556872E-4,-2.213798570206843E-4,4.0197785029449234E-4,-3.5438464130112951E-4,1.4485751381335121E-4,3.2409013642545337E-4,3.3104823217155327E-4,-1.518127706174599E-4,1.3326414291620764E-4,3.4247327134060562E-4,2.6919732347131103E-4,4.035040637306378E-4
218,6.514041847701102E-4,0.000630835946036738,0.000567905786664318,0.00049798357610463,0.000402142818436556,0.000275545936403963,-0.00059947918391591,3.3273945843698832E-4,4.7003257510525726E-4,4.3988513762611287E-4,4.371381141364053E-4,5.5413334805035769E-4,4.2916899007643811E-4,5.4441115972920368E-4,5.3101176579477966E-4,-3.6407784479951244E-4,4.3886668389213346E-4,5.4052975575553941E-4,3.9644799984519391E-4,5.0503352192473455E-4,2.8818746110998578E-4,4.5165109869593767E-4,3.269156456615907E-4,5.403565391705889E-4,5.075012238244872E-4,5.4190836153563543E-4,5.5848037837909204E-4,2.7317997650655457E-5,5.5379648462546005E-4,-8.8767400670985985E-5,3.4122874577193624E-4,4.9450151868833669E-4,4.9846934225943051E-4,8.8334448621545103E-5,3.2594352666869691E-4,5.0450536289213532E-4,4.449323043597686E-4,5.4964327177733224E-4
