Run Number:,2,...3,Date:,20201102,...6,Initials:,RN,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66,...67,...68,...69,...70,...71,...72,...73
ENTER SCAN DATA HERE,Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,0,200,400,600,800,1000,2000,68,67,70,75,69,64,72,65,71,59,30,52,66,57,63,62,56,5,40,7,1,53,34,55,41,10,36,37,13,61,33,51,44,50,43,14,9,16,60,3,58,46,11,32,49,8,42,29,24,47,12,38,31,18,15,48,21,54,6,2,45,35,17,39,4
242,2.7433954957853182E-3,0.00315992675766135,0.00352253051527948,0.003934114435066,0.00431453117129398,0.00484662466099294,0.00677370861448841,0.00359013837147242,0.0034117963959503,0.0035861820625641,0.00344538761258859,0.00349819043487551,0.00342744430297194,0.0039029387487433,0.00349797223850832,0.00327036837455423,0.00343588258879041,0.00366043754241666,0.00391031280275671,0.0036035501457131,0.00437261729246717,0.0034245671374746,0.00327433806780973,0.00392686155314762,0.004120525380982,0.00339399948958545,0.00365963983096247,0.00586818349862655,0.00519553242381659,0.00354669093454068,0.00372837163787291,0.00370061111698019,0.00326660387880498,0.0034420155164655,0.00347576264437336,0.00362330204567873,0.00331529548435899,0.00368841673570648,0.00348283531558092,0.00345991361781401,0.00470757696446854,0.0032885606713752,0.00356651649262054,0.00647409048040958,0.0049801057811211,0.0034649574368446,0.0039023329334683,0.0039496065419092,0.00382588947155521,0.00409465924061511,0.00515612355803986,0.00413128539901912,0.00526444243010724,0.00334473530673143,0.00465607579743523,0.0034682287126833,0.00402816479254558,0.00360504728889137,0.00380851409292547,0.00428154401535384,0.00383886935935147,0.00385244526233513,0.0038455622641482,0.00377456862565469,0.00346255134100867,0.00511191834223181,0.00344939991789758,0.00494837585908033,0.00344604916907829,0.00356017351612644,0.00489571675218502,0.00353267260538696
243,2.8265850500979739E-3,0.00326207040463154,0.00364115178232798,0.00407144557109937,0.0044695785628657,0.00502770667298625,0.00705947298425477,0.00371009272731594,0.00352605785859027,0.00370847542840928,0.00356068264807499,0.00361514365603024,0.00354166235397802,0.00404007864733716,0.00361493179066497,0.0033787352088524,0.00355047177715612,0.00378537958667236,0.00404712205728221,0.00372611436644451,0.00453119274277763,0.00353814440643327,0.00338265525591978,0.00406437055941918,0.00426800184992189,0.00350689278692843,0.00378693317796523,0.0061035724205421,0.0053972686810489,0.00366745645436001,0.00385716802848097,0.00382813579673174,0.00334653963332105,0.00355712893270281,0.00359283220607847,0.00374654115014261,0.00342589728343162,0.00381386840288363,0.00359928587842542,0.00357534768043316,0.00488327205024419,0.00339628936219042,0.00368710956082251,0.00674335473723943,0.00517000107036891,0.00358161841260559,0.00403825194515181,0.00408757220274144,0.00395798277350177,0.00424028692336077,0.00535451499212333,0.00427837782411544,0.00546591506402726,0.00345474007162915,0.00483109085264223,0.00358374751685695,0.00416949243864237,0.00372656479521045,0.00394103149116025,0.00443593957387832,0.00397191075926272,0.00398689941077334,0.00397877684287616,0.00390445169337932,0.00357791064236822,0.00530818978284237,0.00356410267977366,0.00513480874798512,0.00356112492024804,0.00368357035225937,0.00508083634967066,0.00365433494914691
244,2.909774604410633E-3,0.00336421405160172,0.00375977304937649,0.00420877670713274,0.00462462595443743,0.00520878868497956,0.00734523735402114,0.00383004708315945,0.00364031932123025,0.00383076879425445,0.00367597768356138,0.00373209687718497,0.0036558804049841,0.00417721854593102,0.00373189134282163,0.00348710204315057,0.00366506096552183,0.00391032163092806,0.0041839313118077,0.00384867858717592,0.00468976819308808,0.00365172167539194,0.00349097244402982,0.00420187956569073,0.00441547831886178,0.0036197860842714,0.00391422652496798,0.00633896134245765,0.00559900493828121,0.00378822197417933,0.00398596441908903,0.00395566047648329,0.00342647538783712,0.00367224234894011,0.00370990176778359,0.00386978025460649,0.00353649908250426,0.00393932007006078,0.00371573644126992,0.00369078174305231,0.00505896713601984,0.00350401805300565,0.00380770262902449,0.00701261899406928,0.0053598963596167,0.00369827938836658,0.00417417095683532,0.00422553786357368,0.00409007607544834,0.00438591460610642,0.0055529064262068,0.00442547024921174,0.00566738769794727,0.00356474483652687,0.00500610590784924,0.0036992663210306,0.00431082008473917,0.00384808230152953,0.00407354888939503,0.0045903351324028,0.00410495215917398,0.00412135355921156,0.00411199142160411,0.00403433476110394,0.00369326994372777,0.00550446122345293,0.00367880544164976,0.00532124163688991,0.00367620067141779,0.00380696718839229,0.00526595594715629,0.00377599729290685
245,2.9929641587232887E-3,0.00346635769857191,0.003878394316425,0.00434610784316611,0.00477967334600915,0.00538987069697287,0.0076310017237875,0.00395000143900297,0.00375458078387022,0.00395306216009962,0.00379127271904778,0.00384905009833969,0.00377009845599017,0.00431435844452488,0.00384885089497829,0.00359546887744873,0.00377965015388755,0.00403526367518376,0.00432074056633319,0.00397124280790733,0.00484834364339854,0.00376529894435061,0.00359928963213986,0.00433938857196228,0.00456295478780167,0.00373267938161438,0.00404151987197074,0.0065743502643732,0.00580074119551352,0.00390898749399865,0.00411476080969709,0.00408318515623485,0.00350641114235318,0.00378735576517742,0.00382697132948871,0.00399301935907037,0.00364710088157689,0.00406477173723794,0.00383218700411441,0.00380621580567146,0.00523466222179549,0.00361174674382087,0.00392829569722646,0.00728188325089914,0.0055497916488645,0.00381494036412758,0.00431008996851883,0.00436350352440591,0.00422216937739491,0.00453154228885208,0.00575129786029027,0.00457256267430806,0.00586886033186729,0.00367474960142459,0.00518112096305625,0.00381478512520425,0.00445214773083596,0.00396959980784861,0.0042060662876298,0.00474473069092728,0.00423799355908524,0.00425580770764978,0.00424520600033207,0.00416421782882856,0.00380862924508732,0.00570073266406349,0.00379350820352585,0.0055076745257947,0.00379127642258754,0.00393036402452521,0.00545107554464194,0.00389765963666679
246,3.0761537130359444E-3,0.00356850134554209,0.00399701558347351,0.00448343897919949,0.00493472073758088,0.00557095270896618,0.00791676609355387,0.00406995579484649,0.0038688422465102,0.00407535552594479,0.00390656775453418,0.00396600331949442,0.00388431650699625,0.00445149834311874,0.00396581044713494,0.0037038357117469,0.00389423934225326,0.00416020571943946,0.00445754982085868,0.00409380702863875,0.005006919093709,0.00387887621330928,0.0037076068202499,0.00447689757823384,0.00471043125674155,0.00384557267895736,0.00416881321897349,0.00680973918628875,0.00600247745274583,0.00402975301381798,0.00424355720030515,0.0042107098359864,0.00358634689686925,0.00390246918141472,0.00394404089119382,0.00411625846353425,0.00375770268064952,0.00419022340441509,0.00394863756695891,0.00392164986829061,0.00541035730757114,0.00371947543463609,0.00404888876542844,0.00755114750772899,0.0057396869381123,0.00393160133988857,0.00444600898020234,0.00450146918523814,0.00435426267934147,0.00467716997159774,0.00594968929437373,0.00471965509940436,0.00607033296578731,0.0037847543663223,0.00535613601826326,0.0039303039293779,0.00459347537693276,0.00409111731416769,0.00433858368586458,0.00489912624945176,0.0043710349589965,0.004390261856088,0.00437842057906003,0.00429410089655319,0.00392398854644687,0.00589700410467404,0.00390821096540194,0.00569410741469949,0.00390635217375729,0.00405376086065814,0.00563619514212757,0.00401932198042674
247,3.1593432673486001E-3,0.00367064499251227,0.00411563685052201,0.00462077011523286,0.0050897681291526,0.00575203472095949,0.00820253046332023,0.00418991015069,0.00398310370915017,0.00419764889178997,0.00402186279002057,0.00408295654064915,0.00399853455800233,0.00458863824171259,0.0040827699992916,0.00381220254604506,0.00400882853061898,0.00428514776369516,0.00459435907538417,0.00421637124937016,0.00516549454401946,0.00399245348226795,0.00381592400835995,0.00461440658450539,0.00485790772568144,0.00395846597630034,0.00429610656597625,0.0070451281082043,0.00620421370997815,0.0041505185336373,0.0043723535909132,0.00433823451573795,0.00366628265138531,0.00401758259765202,0.00406111045289894,0.00423949756799813,0.00386830447972215,0.00431567507159224,0.00406508812980341,0.00403708393090976,0.00558605239334679,0.00382720412545131,0.00416948183363041,0.00782041176455885,0.0059295822273601,0.00404826231564956,0.00458192799188584,0.00463943484607038,0.00448635598128804,0.0048227976543434,0.0061480807284572,0.00486674752450068,0.00627180559970732,0.00389475913122002,0.00553115107347026,0.00404582273355155,0.00473480302302955,0.00421263482048677,0.00447110108409937,0.00505352180797624,0.00450407635890775,0.00452471600452622,0.00451163515778799,0.00442398396427781,0.00403934784780642,0.0060932755452846,0.00402291372727803,0.00588054030360428,0.00402142792492704,0.00417715769679106,0.00582131473961321,0.00414098432418668
248,3.2425328216612592E-3,0.00377278863948245,0.00423425811757052,0.00475810125126623,0.00524481552072433,0.0059331167329528,0.00848829483308658,0.00430986450653352,0.00409736517179015,0.00431994225763514,0.00413715782550697,0.00419990976180388,0.0041127526090084,0.00472577814030645,0.00419972955144825,0.00392056938034323,0.0041234177189847,0.00441008980795086,0.00473116832990966,0.00433893547010157,0.00532406999432992,0.00410603075122662,0.00392424119646999,0.00475191559077694,0.00500538419462133,0.00407135927364332,0.00442339991297901,0.00728051703011985,0.00640594996721046,0.00427128405345663,0.00450114998152126,0.00446575919548951,0.00374621840590138,0.00413269601388933,0.00417818001460405,0.00436273667246201,0.00397890627879478,0.0044411267387694,0.00418153869264791,0.0041525179935289,0.00576174747912244,0.00393493281626653,0.00429007490183238,0.0080896760213887,0.00611947751660789,0.00416492329141056,0.00471784700356935,0.00477740050690262,0.00461844928323461,0.00496842533708905,0.00634647216254067,0.00501383994959699,0.00647327823362735,0.00400476389611774,0.00570616612867727,0.0041613415377252,0.00487613066912635,0.00433415232680585,0.00460361848233414,0.00520791736650072,0.00463711775881901,0.00465917015296444,0.00464484973651596,0.00455386703200243,0.00415470714916597,0.00628954698589516,0.00413761648915412,0.00606697319250907,0.00413650367609678,0.00430055453292399,0.00600643433709884,0.00426264666794662
249,3.3257223759739149E-3,0.00387493228645263,0.00435287938461903,0.0048954323872996,0.00539986291229606,0.00611419874494611,0.00877405920285294,0.00442981886237704,0.00421162663443012,0.00444223562348032,0.00425245286099337,0.0043168629829586,0.00422697066001448,0.00486291803890031,0.00431668910360491,0.0040289362146414,0.00423800690735041,0.00453503185220656,0.00486797758443516,0.00446149969083298,0.00548264544464037,0.00421960802018529,0.00403255838458003,0.0048894245970485,0.00515286066356122,0.0041842525709863,0.00455069325998177,0.0075159059520354,0.00660768622444277,0.00439204957327595,0.00462994637212932,0.00459328387524106,0.00382615416041745,0.00424780943012663,0.00429524957630917,0.00448597577692588,0.00408950807786742,0.00456657840594655,0.00429798925549241,0.00426795205614805,0.00593744256489809,0.00404266150708175,0.00441066797003436,0.00835894027821854,0.0063093728058557,0.00428158426717155,0.00485376601525286,0.00491536616773485,0.00475054258518117,0.00511405301983471,0.00654486359662414,0.0051609323746933,0.00667475086754736,0.00411476866101546,0.00588118118388428,0.00427686034189885,0.00501745831522314,0.00445566983312493,0.00473613588056892,0.0053623129250252,0.00477015915873027,0.00479362430140266,0.00477806431524392,0.00468375009972705,0.00427006645052552,0.00648581842650572,0.00425231925103021,0.00625340608141385,0.00425157942726653,0.00442395136905691,0.00619155393458448,0.00438430901170657
250,3.4089119302865706E-3,0.00397707593342281,0.00447150065166754,0.00503276352333297,0.00555491030386778,0.00629528075693941,0.00905982357261931,0.00454977321822056,0.0043258880970701,0.00456452898932549,0.00436774789647977,0.00443381620411333,0.00434118871102055,0.00500005793749416,0.00443364865576157,0.00413730304893956,0.00435259609571612,0.00465997389646227,0.00500478683896065,0.00458406391156439,0.00564122089495084,0.00433318528914397,0.00414087557269007,0.00502693360332005,0.0053003371325011,0.00429714586832928,0.00467798660698452,0.00775129487395095,0.00680942248167508,0.00451281509309528,0.00475874276273738,0.00472080855499262,0.00390608991493351,0.00436292284636394,0.00441231913801429,0.00460921488138976,0.00420010987694005,0.00469203007312371,0.00441443981833691,0.0043833861187672,0.00611313765067374,0.00415039019789698,0.00453126103823634,0.0086282045350484,0.0064992680951035,0.00439824524293254,0.00498968502693636,0.00505333182856709,0.00488263588712774,0.00525968070258037,0.00674325503070761,0.00530802479978961,0.00687622350146738,0.00422477342591318,0.00605619623909129,0.0043923791460725,0.00515878596131994,0.00457718733944401,0.0048686532788037,0.00551670848354968,0.00490320055864153,0.00492807844984088,0.00491127889397188,0.00481363316745168,0.00438542575188507,0.00668208986711628,0.0043670220129063,0.00643983897031864,0.00436665517843628,0.00454734820518984,0.00637667353207011,0.00450597135546651
