"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL"
"D44",17,"ME","DeepHole","6/10/2020","9:36","PML",0,1,2,"","ME_DeepHole_20200610_0936_PML_1_Limno.Sample.20160505",7.84883498703432
"D49",15,"CR","DeepHole","6/11/2020","9:30","PML",0,2.5,1,"","CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505",4.9666822294924
"D51",15,"CR","DeepHole","6/11/2020","9:30","Hypo",8,8,1,"","CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505",5.06758131696812
"D60",15,"MO","Inlet1","6/12/2020","9:25","Surface",0,0,2,"","MO_PML_20200612_0925_Surface_0_Limno.Sample.20160505",12.5804086656019
"D64",15,"MO","Inlet3","6/12/2020","9:25","Surface",0,0,2,"","MO_PML_20200612_0925_Surface_0_Limno.Sample.20160505",64.1457776061379
"D68",17,"BR","DeepHole","6/15/2020","11:42","Hypo",3.5,3.5,2,"","BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505",10.1362766525134
"D7",3,"FE","DeepHole","6/4/2020","10:45","PML",0,0.5,1,"","FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505",13.8315573503009
"D73",3,"FE","DeepHole","6/16/2020","10:35","PML",0,1.5,1,"","FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505",13.4362703370137
"D75",3,"FE","DeepHole","6/16/2020","10:35","Hypo",8,8,1,"","FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505",17.9185639171118
"D76",3,"FE","DeepHole","6/16/2020","10:35","Hypo",8,8,2,"","FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505",18.4551096528651
"D79",3,"WL","DeepHole","6/16/2020","8:56","PML",0,2,1,"","WL_DeepHole_20200616_0856_PML_2_Limno.Sample.20160505",6.59412515807146
"D81",3,"WL","DeepHole","6/16/2020","8:56","Hypo",8,8,1,"","WL_DeepHole_20200616_0856_Hypo_8_Limno.Sample.20160505",7.53426724372765
"D81",3,"WL","DeepHole","6/16/2020","8:56","Hypo",8,8,1,"","WL_DeepHole_20200616_0856_Hypo_8_Limno.Sample.20160505",6.95023958445638
"D83",17,"PA","DeepHole","6/17/2020","9:20","PML",0,2,1,"","PA_DeepHole_20200617_0920_PML_2_Limno.Sample.20160505",4.35416541611034
"D85",17,"PA","DeepHole","6/17/2020","9:20","Hypo",5.5,5.5,1,"","PA_DeepHole_20200617_0920_Hypo_5.5_Limno.Sample.20160505",3.71434649670544
"D9",3,"FE","DeepHole","6/4/2020","10:45","Hypo",8,8,1,"","FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505",18.7079508955984
"D90",17,"PE","DeepHole","6/17/2020","10:38","Hypo",9,9,2,"","PE_DeepHole_20200617_1038_Hypo_9_Limno.Sample.20160505",7.52239676284815
"D94",15,"MO","DeepHole","6/22/2020","9:05","Hypo",7,7,2,"","MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505",13.4433926255414
"D96",15,"MO","Inlet1","6/22/2020","9:05","Surface",0,0,2,"","MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505",11.1037208441925
