"sample","abs","df","runID","TP","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID"
"U138",0.115,1,"TP_reruns_20210419.xlsx",17.8545217532822,15,"HB","DeepHole","8/5/2020","8:55","PML",0,1,"","HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505"
"U138",0.097,1,"TP_run1_20201028.xlsx",15.4376212221302,15,"HB","DeepHole","8/5/2020","8:55","PML",0,1,"","HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505"
"U138",0.361,1,"TP_run1_20201028.xlsx",59.9273259331304,15,"HB","DeepHole","8/5/2020","8:55","PML",0,1,"","HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505"
"U139",0.203,1,"TP_run1_20201028.xlsx",33.3009117500318,15,"HB","DeepHole","8/5/2020","8:55","Hypo",4,4,"","HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505"
"U14",0.094,1,"TP_run2_20201102.xlsx",12.4067001085782,3,"FE","DeepHole","6/9/2020","11:48","PML",0,0.5,"","FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505"
"U140",0.11,1,"TP_run1_20201028.xlsx",17.6284021359294,15,"HB","Outlet","8/5/2020","8:55","Surface",0,0,"","HB_Outlet_20200805_0855_Surface_0_Limno.Sample.20160505"
"U141",0.041,1,"TP_run1_20201028.xlsx",6.000411131918,15,"CR","DeepHole","8/6/2020","9:22","PML",0,3.5,"","CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505"
"U142",0.114,1,"TP_run3_20201109.xlsx",15.4216211103411,15,"CR","DeepHole","8/6/2020","9:22","Hypo",8,8,"","CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505"
"U143",0.063,1,"TP_run1_20201028.xlsx",9.70788652450135,15,"CR","Outlet","8/6/2020","9:22","Surface",0,0,"","CR_Outlet_20200806_0922_Surface_0_Limno.Sample.20160505"
"U144",0.1,1,"TP_run1_20201028.xlsx",15.9431860483915,3,"FE","DeepHole","8/11/2020","10:45","PML",0,1,"","FE_DeepHole_20200811_1045_PML_1_Limno.Sample.20160505"
"U145",0.481,1,"TP_run1_20201028.xlsx",80.1499189835851,3,"FE","DeepHole","8/11/2020","10:45","Hypo",8,8,"","FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505"
"U146",0.437,1,"TP_run3_20201109.xlsx",70.1045230728374,3,"FE","Inlet1","8/11/2020","10:45","Surface",0,0,"","FE_Inlet1_20200811_1045_Surface_0_Limno.Sample.20160505"
"U147",0.084,1,"TP_run1_20201028.xlsx",13.2468403083309,3,"WL","DeepHole","8/11/2020","9:48","PML",0,1.5,"","WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505"
"U148",0.365,1,"TP_reruns_20210419.xlsx",60.8769807998771,3,"WL","DeepHole","8/11/2020","9:48","Hypo",8,8,"","WL_DeepHole_20200811_0948_Hypo_8_Limno.Sample.20160505"
"U149",0.254,1,"TP_run1_20201028.xlsx",41.895513796475,17,"BO","DeepHole","8/12/2020","10:55","PML",0,0,"","BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505"
"U15",0.309,1,"TP_run2_20201102.xlsx",49.1266529742626,3,"FE","DeepHole","6/9/2020","11:48","Hypo",8,8,"","FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505"
"U150",0.46,1,"TP_run3_20201109.xlsx",73.9983520051514,17,"BO","DeepHole","8/12/2020","10:55","Hypo",2,2,"","BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505"
"U151",0.079,1,"TP_run3_20201109.xlsx",9.49622925681984,17,"CB","DeepHole","8/12/2020","9:15","PML",0,0.5,"","CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505"
"U152",0.105,1,"TP_run1_20201028.xlsx",16.7857940921605,17,"CB","DeepHole","8/12/2020","9:15","Hypo",3,3,"","CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505"
"U153",0.094,1,"TP_run3_20201109.xlsx",12.035682908329,17,"NG","DeepHole","8/14/2020","10:00","PML",0,0,"","NG_DeepHole_20200814_1000_PML_0_Limno.Sample.20160505"
"U154",0.141,1,"TP_run1_20201028.xlsx",22.8525720072969,17,"NG","DeepHole","8/14/2020","10:00","Hypo",3.5,3.5,"","NG_DeepHole_20200814_1000_Hypo_3.5_Limno.Sample.20160505"
"U155",0.07,1,"TP_run1_20201028.xlsx",10.8875377857779,17,"WA","DeepHole","8/14/2020","11:15","PML",0,0.5,"","WA_DeepHole_20200814_1115_PML_0.5_Limno.Sample.20160505"
"U156",0.242,1,"TP_run1_20201028.xlsx",39.8732544914296,17,"WA","DeepHole","8/14/2020","11:15","Hypo",4,4,"","WA_DeepHole_20200814_1115_Hypo_4_Limno.Sample.20160505"
"U157",0.051,1,"TP_run1_20201028.xlsx",7.68562721945589,15,"CR","DeepHole","8/17/2020","9:30","PML",0,3,"","CR_DeepHole_20200817_0930_PML_3_Limno.Sample.20160505"
"U158",0.1,1,"TP_run1_20201028.xlsx",15.9431860483915,15,"CR","DeepHole","8/17/2020","9:30","Hypo",8,8,"","CR_DeepHole_20200817_0930_Hypo_8_Limno.Sample.20160505"
"U159",0.077,1,"TP_run3_20201109.xlsx",9.15763543661862,15,"CR","Outlet","8/17/2020","9:30","Surface",0,0,"","CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505"
"U16",0.808,1,"TP_run2_20201102.xlsx",134.351101718339,3,"FE","Inlet1","6/9/2020","11:48","Surface",0,0,"","FE_Inlet1_20200609_1148_Surface_0_Limno.Sample.20160505"
"U160",0.104,1,"TP_run1_20201028.xlsx",16.6172724834067,15,"HB","DeepHole","8/18/2020","9:50","PML",0,0.5,"","HB_DeepHole_20200818_0950_PML_0.5_Limno.Sample.20160505"
"U161",0.279,1,"TP_run3_20201109.xlsx",43.3556112769414,15,"HB","DeepHole","8/18/2020","9:50","Hypo",4,4,"","HB_DeepHole_20200818_0950_Hypo_4_Limno.Sample.20160505"
"U162",0.114,1,"TP_run3_20201109.xlsx",15.4216211103411,15,"HB","Outlet","8/18/2020","9:50","Surface",0,0,"","HB_Outlet_20200818_0950_Surface_0_Limno.Sample.20160505"
"U163",0.144,1,"TP_run1_20201028.xlsx",23.3581368335583,15,"MO","DeepHole","8/19/2020","10:15","PML",0,1.5,"","MO_DeepHole_20200819_1015_PML_1.5_Limno.Sample.20160505"
"U164",0.398,1,"TP_run3_20201109.xlsx",63.5019435789137,15,"MO","DeepHole","8/19/2020","10:15","Hypo",4.5,4.5,"","MO_DeepHole_20200819_1015_Hypo_4.5_Limno.Sample.20160505"
"U165",0.149,1,"TP_run3_20201109.xlsx",21.3470129638624,15,"MO","Inlet1","8/19/2020","10:15","Surface",0,0,"","MO_Inlet1_20200819_1015_Surface_0_Limno.Sample.20160505"
"U166",0.188,1,"TP_run3_20201109.xlsx",27.9495924577861,15,"MO","Inlet2","8/19/2020","10:15","Surface",0,0,"","MO_Inlet2_20200819_1015_Surface_0_Limno.Sample.20160505"
"U167",0.109,1,"TP_run3_20201109.xlsx",14.5751365598381,3,"FE","DeepHole","8/20/2020","11:32","PML",0,1.5,"","FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505"
"U168",0.515,1,"TP_run3_20201109.xlsx",83.3096820606848,3,"FE","DeepHole","8/20/2020","11:32","Hypo",8,8,"","FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505"
"U169",0.622,2,"TP_run3_20201109.xlsx",202.8489028829,3,"FE","Inlet1","8/20/2020","11:32","Surface",0,0,"","FE_Inlet1_20200820_1132_Surface_0_Limno.Sample.20160505"
"U17",0.067,1,"TP_run2_20201102.xlsx",7.79535719056204,3,"WL","DeepHole","6/9/2020","10:20","PML",0,1,"","WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505"
"U170",0.08,1,"TP_run1_20201028.xlsx",12.5727538733158,17,"ME","DeepHole","8/20/2020","10:54","PML",0,2,"","ME_DeepHole_20200820_1054_PML_2_Limno.Sample.20160505"
"U171",0.128,1,"TP_run1_20201028.xlsx",20.6617910934976,17,"ME","DeepHole","8/20/2020","10:54","Hypo",3.5,3.5,"","ME_DeepHole_20200820_1054_Hypo_3.5_Limno.Sample.20160505"
"U172",0.151,1,"TP_run3_20201109.xlsx",21.6856067840636,17,"ME","Outlet","8/20/2020","10:54","Surface",0,0,"","ME_Outlet_20200820_1054_Surface_0_Limno.Sample.20160505"
"U173",0.091,1,"TP_run3_20201109.xlsx",11.5277921780271,3,"WL","DeepHole","8/20/2020","9:10","PML",0,2,"","WL_DeepHole_20200820_0910_PML_2_Limno.Sample.20160505"
"U174",0.427,1,"TP_run3_20201109.xlsx",68.4115539718313,3,"WL","DeepHole","8/20/2020","9:10","Hypo",8,8,"","WL_DeepHole_20200820_0910_Hypo_8_Limno.Sample.20160505"
"U175",0.082,1,"TP_run3_20201109.xlsx",10.0041199871217,35,"NH","DeepHole","8/24/2020","10:50","PML",0,2,"","NH_DeepHole_20200824_1050_PML_2_Limno.Sample.20160505"
"U176",0.237,1,"TP_run3_20201109.xlsx",36.2451410527158,35,"NH","DeepHole","8/24/2020","10:50","Hypo",3,3,"","NH_DeepHole_20200824_1050_Hypo_3_Limno.Sample.20160505"
"U177",0.072,1,"TP_run1_20201028.xlsx",11.2245810032855,35,"SE","DeepHole","8/24/2020","11:55","PML",0,5,"","SE_DeepHole_20200824_1155_PML_5_Limno.Sample.20160505"
"U178",0.159,1,"TP_run3_20201109.xlsx",23.0399820648685,35,"SE","DeepHole","8/24/2020","11:55","Hypo",5.5,5.5,"","SE_DeepHole_20200824_1155_Hypo_5.5_Limno.Sample.20160505"
