"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","runID","chl","replicate","metadataID","comments","flag","updateID"
"3","FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505","FE","DeepHole",2020-06-04,"2020-06-04 10:45:00","PML",0,0.5,"2",4.78575298481666,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-04,"2020-06-04 10:45:00","Hypo",8,8,"2",2.02857476297261,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-04,"2020-06-04 10:45:00","Hypo",8,8,"2",1.49731285251268,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505","FE","DeepHole",2020-06-09,"2020-06-09 11:48:00","PML",0,0.5,"2",3.9053677950027,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505","FE","DeepHole",2020-06-09,"2020-06-09 11:48:00","PML",0,0.5,"1",5.13103853378003,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-09,"2020-06-09 11:48:00","Hypo",8,8,"2",1.43072507186901,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-09,"2020-06-09 11:48:00","Hypo",8,8,"1",1.80028232256746,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505","FE","DeepHole",2020-06-16,"2020-06-16 10:35:00","PML",0,1.5,"1",7.77316914047173,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505","FE","DeepHole",2020-06-16,"2020-06-16 10:35:00","PML",0,1.5,"3",5.90524997218482,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-16,"2020-06-16 10:35:00","Hypo",8,8,"1",1.93293059028479,"1","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
"3","FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-16,"2020-06-16 10:35:00","Hypo",8,8,"2",2.0222963809929,"2","Chlorophyll.20110601",NA,0,"tableChlorophyll.20210219"
