"projectID","lakeID","sampleID","dateSample","QCcode","flag","comments","metadataID","updateID","parameter","parameterValue"
3,"WL","WL_DeepHole_20190813_847_Hypo_8_Limno.Sample.20160505",2019-08-13,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.747
15,"CR","CR_DeepHole_20190814_1150_PML_4_Limno.Sample.20160505",2019-08-14,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.896
15,"CR","CR_DeepHole_20190814_1150_Hypo_8_Limno.Sample.20160505",2019-08-14,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.757
15,"CR","CR_Outlet_20190814_1150_Surface_0_Limno.Sample.20160505",2019-08-14,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",4.426
37,"PN","PN_DeepHole_20190818_1245_Surface_0_fishScapesLimno.20190319",2019-08-18,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.257
37,"PT","PT_DeepHole_20190819_1235_Surface_0_fishScapesLimno.20190319",2019-08-19,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.993
37,"WB","WB_DeepHole_20190819_1330_Surface_0_fishScapesLimno.20190319",2019-08-19,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.942
37,"AQ","AQ_DeepHole_20190823_1330_Surface_0_fishScapesLimno.20190319",2019-08-23,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.019
3,"FE","FE_DeepHole_20190513_1020_PML_0.5_Limno.Sample.20160505",2019-05-13,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.412
15,"PA","PA_DeepHole_20190605_930_Hypo_6.5_Limno.Sample.20160505",2019-06-05,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.682
15,"PE","PE_DeepHole_20190605_830_PML_1_Limno.Sample.20160505",2019-06-05,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.921
15,"PE","PE_DeepHole_20190605_830_Hypo_9_Limno.Sample.20160505",2019-06-05,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.065
3,"ME","ME_DeepHole_20190606_931_PML_1_Limno.Sample.20160505",2019-06-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.799
3,"ME","ME_DeepHole_20190606_931_Hypo_3_Limno.Sample.20160505",2019-06-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.984
3,"ME","ME_Outlet_20190606_931_Surface_0_Limno.Sample.20160505",2019-06-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.201
3,"FE","FE_DeepHole_20190513_1020_Hypo_8_Limno.Sample.20160505",2019-05-13,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1
15,"CR","CR_DeepHole_20190607_933_PML_1_Limno.Sample.20160505",2019-06-07,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.643
15,"CR","CR_DeepHole_20190607_933_Hypo_8_Limno.Sample.20160505",2019-06-07,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.013
3,"FE","FE_Inlet1_20190513_1020_Surface_0_Limno.Sample.20160505",2019-05-13,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.703
3,"WL","WL_DeepHole_20190513_925_PML_1.5_Limno.Sample.20160505",2019-05-13,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.051
17,"BO","BO_DeepHole_20190719_930_PML_0.5_Limno.Sample.20160505",2019-07-19,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.991
17,"BO","BO_DeepHole_20190719_930_Hypo_2_Limno.Sample.20160505",2019-07-19,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.35
17,"HB","HB_DeepHole_20190719_1044_PML_0.5_Limno.Sample.20160505",2019-07-19,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.903
17,"HB","HB_DeepHole_20190719_1044_Hypo_4_Limno.Sample.20160505",2019-07-19,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.101
17,"HB","HB_Outlet_20190719_1044_Surface_0_Limno.Sample.20160505",2019-07-19,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.84
17,"BR","BR_DeepHole_20190722_1020_PML_2.5_Limno.Sample.20160505",2019-07-22,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.924
17,"BR","BR_DeepHole_20190722_1020_Hypo_4.5_Limno.Sample.20160505",2019-07-22,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.741
34,"PA","PA_DeepHole_20190801_830_PML_2.5_Limno.Sample.20160505",2019-08-01,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.819
34,"PA","PA_DeepHole_20190801_830_Hypo_8_Limno.Sample.20160505",2019-08-01,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.077
15,"HB","HB_DeepHole_20190802_825_Hypo_3.5_Limno.Sample.20160505",2019-08-02,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.172
15,"ME","ME_DeepHole_20190812_1050_PML_0.5_Limno.Sample.20160505",2019-08-12,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.519
15,"ME","ME_DeepHole_20190812_1050_Hypo_2_Limno.Sample.20160505",2019-08-12,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.666
15,"ME","ME_Outlet_20190812_1050_Surface_0_Limno.Sample.20160505",2019-08-12,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",3.046
15,"MO","MO_Inlet1_20190812_943_Surface_0_Limno.Sample.20160505",2019-08-12,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.528
15,"MO","MO_Inlet2_20190812_943_Surface_0_Limno.Sample.20160505",2019-08-12,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.956
15,"MO","MO_Inlet3_20190812_943_Surface_0_Limno.Sample.20160505",2019-08-12,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.303
3,"FE","FE_DeepHole_20190813_954_PML_2_Limno.Sample.20160505",2019-08-13,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.598
3,"FE","FE_DeepHole_20190813_954_Hypo_8_Limno.Sample.20160505",2019-08-13,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.759
3,"WL","WL_DeepHole_20190813_847_PML_2.5_Limno.Sample.20160505",2019-08-13,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.431
15,"HB","HB_DeepHole_20190814_1037_PML_1_Limno.Sample.20160505",2019-08-14,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.744
15,"HB","HB_DeepHole_20190814_1037_Hypo_4.5_Limno.Sample.20160505",2019-08-14,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.156
15,"HB","HB_Outlet_20190814_1037_Surface_0_Limno.Sample.20160505",2019-08-14,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",2.818
37,"HT","HT_DeepHole_20190820_1335_Surface_0_fishScapesLimno.20190319",2019-08-20,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.924
37,"ID","ID_DeepHole_20190820_1435_Surface_0_fishScapesLimno.20190319",2019-08-20,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.984
37,"MS","MS_DeepHole_20190901_1315_Surface_0_fishScapesLimno.20190319",2019-09-01,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.403
37,"SV","SV_DeepHole_20190901_1245_Surface_0_fishScapesLimno.20190319",2019-09-01,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.581
37,"SM","SM_DeepHole_20190901_1345_Surface_0_fishScapesLimno.20190319",2019-09-01,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.577
37,"BK","BK_DeepHole_20190901_1215_Surface_0_fishScapesLimno.20190319",2019-09-01,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.897
15,"MO","MO_Inlet1_20191006_1233_Surface_0_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.469
