"pocID","runID","trayLoc","PON.mg","POC.mg","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","ID","parameter","parameterValue","QCcode","flag","metadataID","updateID"
"P168","RN_20210201_run1b_021","p1a9",0.01122997404124,0.08550187253007,3,"FE","DeepHole",2020-08-20,"11:32","Hypo",8,8,120,"1","","FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505",168,"PON",93.583,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P168","RN_20210201_run1b_021","p1a9",0.01122997404124,0.08550187253007,3,"FE","DeepHole",2020-08-20,"11:32","Hypo",8,8,120,"1","","FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505",168,"POC",712.516,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P167","RN_20210201_run1b_022","p1a10",0.01639403282813,0.06896438301798,3,"FE","DeepHole",2020-08-20,"11:32","PML",0,1.5,120,"1","","FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505",167,"PON",136.617,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P167","RN_20210201_run1b_022","p1a10",0.01639403282813,0.06896438301798,3,"FE","DeepHole",2020-08-20,"11:32","PML",0,1.5,120,"1","","FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505",167,"POC",574.703,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P166","RN_20210201_run1b_023","p1a11",0.02387462189436,0.1501063929567,15,"MO","Inlet2",2020-08-19,"10:15","Surface",0,0,90,"1","","MO_Inlet2_20200819_1015_Surface_0_Limno.Sample.20160505",166,"PON",265.274,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P166","RN_20210201_run1b_023","p1a11",0.02387462189436,0.1501063929567,15,"MO","Inlet2",2020-08-19,"10:15","Surface",0,0,90,"1","","MO_Inlet2_20200819_1015_Surface_0_Limno.Sample.20160505",166,"POC",1667.849,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P165","RN_20210201_run1b_024","p1a12",0.005382203485332,0.02931304580939,15,"MO","Inlet1",2020-08-19,"10:15","Surface",0,0,120,"1","","MO_Inlet1_20200819_1015_Surface_0_Limno.Sample.20160505",165,"PON",44.852,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P165","RN_20210201_run1b_024","p1a12",0.005382203485332,0.02931304580939,15,"MO","Inlet1",2020-08-19,"10:15","Surface",0,0,120,"1","","MO_Inlet1_20200819_1015_Surface_0_Limno.Sample.20160505",165,"POC",244.275,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P164","RN_20210201_run1b_026","p1b1",0.03264073738427,0.2224444011041,15,"MO","DeepHole",2020-08-19,"10:15","Hypo",4.5,4.5,110,"1","","MO_DeepHole_20200819_1015_Hypo_4.5_Limno.Sample.20160505",164,"PON",296.734,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P164","RN_20210201_run1b_026","p1b1",0.03264073738427,0.2224444011041,15,"MO","DeepHole",2020-08-19,"10:15","Hypo",4.5,4.5,110,"1","","MO_DeepHole_20200819_1015_Hypo_4.5_Limno.Sample.20160505",164,"POC",2022.222,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
