"sample","abs","df","runID","POPinBottle","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID"
"P119",0.246,1,"Run6_POP_2019.xlsx",41.5615292607162,3,"FE","DeepHole","6/25/2019","9:28","PML",0,1.5,140,"1","","FE_DeepHole_20190625_928_PML_1.5_Limno.Sample.20160505"
"P12",0.404,1,"Run3_POP_2019.xlsx",67.3352545959007,34,"PA","DeepHole","5/15/2019","8:45","Hypo",6,6,140,"1","","PA_DeepHole_20190515_845_Hypo_6_Limno.Sample.20160505"
"P120",0.336,1,"Run4_POP_2019.xlsx",57.8210288585661,3,"FE","DeepHole","6/25/2019","9:28","Hypo",8,8,140,"1","","FE_DeepHole_20190625_928_Hypo_8_Limno.Sample.20160505"
"P121",0.221,1,"Run6_POP_2019.xlsx",37.4609789637382,3,"WL","DeepHole","6/25/2019","8:35","PML",0,2,140,"1","","WL_DeepHole_20190625_835_PML_2_Limno.Sample.20160505"
"P122",0.609,1,"Run6_POP_2019.xlsx",101.101519572836,3,"WL","DeepHole","6/25/2019","8:35","Hypo",8,8,140,"1","","WL_DeepHole_20190625_835_Hypo_8_Limno.Sample.20160505"
"P123",0.15,1,"Run6_POP_2019.xlsx",25.8154161203209,34,"PA","DeepHole","6/27/2019","8:42","PML",0,2,140,"1","","PA_DeepHole_20190627_842_PML_2_Limno.Sample.20160505"
"P124",0.499,1,"Run6_POP_2019.xlsx",83.0590982661328,34,"PA","DeepHole","6/27/2019","8:42","Hypo",8,8,140,"1","","PA_DeepHole_20190627_842_Hypo_8_Limno.Sample.20160505"
"P125",0.271,1,"Run6_POP_2019.xlsx",45.6620795576941,34,"PE","DeepHole","6/27/2019","10:01","PML",0,1.5,140,"1","","PE_DeepHole_20190627_1001_PML_1.5_Limno.Sample.20160505"
"P126",0.513,1,"Run6_POP_2019.xlsx",85.3554064324405,34,"PE","DeepHole","6/27/2019","10:01","Hypo",9,9,140,"1","","PE_DeepHole_20190627_1001_Hypo_9_Limno.Sample.20160505"
"P127",0.162,1,"Run2_POP_2019.xlsx",24.5932556622661,15,"CR","DeepHole","7/1/2019","9:55","PML",0,1.5,140,"1","","CR_DeepHole_20190701_955_PML_1.5_Limno.Sample.20160505"
"P128",0.186,1,"Run3_POP_2019.xlsx",29.3121994450925,15,"CR","DeepHole","7/1/2019","9:55","Hypo",10,10,140,"1","","CR_DeepHole_20190701_955_Hypo_10_Limno.Sample.20160505"
"P129",0.761,1,"Run1_POP_2019.xlsx",117.152933912249,15,"CR","Outlet","7/1/2019","9:55","Surface",0,0,140,"1","","CR_Outlet_20190701_955_Surface_0_Limno.Sample.20160505"
"P13",0.213,1,"Run6_POP_2019.xlsx",36.1488028687053,34,"PE","DeepHole","5/15/2019","10:19","PML",0,1,140,"1","","PE_DeepHole_20190515_1019_PML_1_Limno.Sample.20160505"
"P130",0.24,1,"Run1_POP_2019.xlsx",38.7256500557658,15,"HB","DeepHole","7/1/2019","8:40","PML",0,0.5,140,"1","","HB_DeepHole_20190701_840_PML_0.5_Limno.Sample.20160505"
"P131",0.384,1,"Run1_POP_2019.xlsx",60.4022889719532,15,"HB","DeepHole","7/1/2019","8:40","Hypo",4.5,4.5,140,"1","","HB_DeepHole_20190701_840_Hypo_4.5_Limno.Sample.20160505"
"P132",0.378,1,"Run1_POP_2019.xlsx",59.4990956837788,15,"HB","Outlet","7/1/2019","8:40","Surface",0,0,140,"1","","HB_Outlet_20190701_840_Surface_0_Limno.Sample.20160505"
"P133",0.204,1,"Run3_POP_2019.xlsx",32.4517177602968,3,"FE","DeepHole","7/2/2019","9:08","PML",0,1.5,140,"1","","FE_DeepHole_20190702_908_PML_1.5_Limno.Sample.20160505"
"P134",0.346,1,"Run1_POP_2019.xlsx",54.6820648135149,3,"FE","DeepHole","7/2/2019","9:08","Hypo",8,8,140,"1","","FE_DeepHole_20190702_908_Hypo_8_Limno.Sample.20160505"
"P135",0.186,1,"Run1_POP_2019.xlsx",30.5969104621956,3,"WL","DeepHole","7/2/2019","8:30","PML",0,1.5,140,"1","","WL_DeepHole_20190702_830_PML_1.5_Limno.Sample.20160505"
"P136",0.61,1,"Run6_POP_2019.xlsx",101.265541584715,3,"WL","DeepHole","7/2/2019","8:30","Hypo",8,8,140,"1","","WL_DeepHole_20190702_830_Hypo_8_Limno.Sample.20160505"
"P137",0.141,1,"Run4_POP_2019.xlsx",24.3826056964409,17,"ME","DeepHole","7/3/2019","8:47","PML",0,1.5,140,"1","","ME_DeepHole_20190703_847_PML_1.5_Limno.Sample.20160505"
"P138",0.231,1,"Run2_POP_2019.xlsx",33.9996746329329,17,"ME","DeepHole","7/3/2019","8:47","Hypo",3,3,140,"1","","ME_DeepHole_20190703_847_Hypo_3_Limno.Sample.20160505"
"P139",0.374,1,"Run2_POP_2019.xlsx",53.4941371373582,17,"MO","DeepHole","7/3/2019","10:40","PML",0,1,140,"1","","MO_DeepHole_20190703_1040_PML_1_Limno.Sample.20160505"
"P14",0.37,1,"Run6_POP_2019.xlsx",61.9002587337267,34,"PE","DeepHole","5/15/2019","10:19","Hypo",9,9,140,"1","","PE_DeepHole_20190515_1019_Hypo_9_Limno.Sample.20160505"
"P140",0.799,1,"Run6_POP_2019.xlsx",132.265701829868,17,"MO","DeepHole","7/3/2019","10:40","Hypo",4,4,140,"1","","MO_DeepHole_20190703_1040_Hypo_4_Limno.Sample.20160505"
"P141",0.271,1,"Run5_POP_2019.xlsx",46.1363154045565,17,"MO","Outlet","7/3/2019","10:40","Surface",0,0,140,"1","","MO_Outlet_20190703_1040_Surface_0_Limno.Sample.20160505"
"P142",0.283,1,"Run6_POP_2019.xlsx",47.6303437002435,17,"MO","Inlet1","7/3/2019","10:40","Surface",0,0,140,"1","","MO_Inlet1_20190703_1040_Surface_0_Limno.Sample.20160505"
"P143",0.289,1,"Run2_POP_2019.xlsx",41.9065195647977,17,"MO","Inlet2","7/3/2019","10:40","Surface",0,0,140,"1","","MO_Inlet2_20190703_1040_Surface_0_Limno.Sample.20160505"
"P144",0.512,1,"Run3_POP_2019.xlsx",86.1723644871268,17,"MO","Inlet3","7/3/2019","10:40","Surface",0,0,140,"1","","MO_Inlet3_20190703_1040_Surface_0_Limno.Sample.20160505"
"P145",0.161,1,"Run5_POP_2019.xlsx",27.0793718942426,34,"PA","DeepHole","7/3/2019","9:15","PML",0,2,140,"1","","PA_DeepHole_20190703_915_PML_2_Limno.Sample.20160505"
"P146",0.525,1,"Run5_POP_2019.xlsx",90.1405304192813,34,"PA","DeepHole","7/3/2019","9:15","Hypo",8,8,140,"1","","PA_DeepHole_20190703_915_Hypo_8_Limno.Sample.20160505"
"P147",0.21,1,"Run6_POP_2019.xlsx",35.656736833068,34,"PE","DeepHole","7/3/2019","10:50","PML",0,1.5,140,"1","","PE_DeepHole_20190703_1050_PML_1.5_Limno.Sample.20160505"
"P148",0.591,1,"Run6_POP_2019.xlsx",98.1491233590116,34,"PE","DeepHole","7/3/2019","10:50","Hypo",9,9,140,"1","","PE_DeepHole_20190703_1050_Hypo_9_Limno.Sample.20160505"
"P149",0.579,1,"Run4_POP_2019.xlsx",99.4904484913683,3,"FE","DeepHole","7/9/2019","11:04","PML",0,1,140,"1","","FE_DeepHole_20190709_1104_PML_1_Limno.Sample.20160505"
"P150",0.144,1,"Run4_POP_2019.xlsx",24.8970429758582,3,"FE","DeepHole","7/9/2019","11:04","Hypo",8,8,120,"1","","FE_DeepHole_20190709_1104_Hypo_8_Limno.Sample.20160505"
"P151",0.639,1,"Run6_POP_2019.xlsx",106.022179929209,3,"WL","DeepHole","7/9/2019","9:10","PML",0,1.5,140,"1","","WL_DeepHole_20190709_910_PML_1.5_Limno.Sample.20160505"
"P152",0.182,1,"Run4_POP_2019.xlsx",31.4132485151441,3,"WL","DeepHole","7/9/2019","9:10","Hypo",8,8,140,"1","","WL_DeepHole_20190709_910_Hypo_8_Limno.Sample.20160505"
"P153",0.117,1,"Run5_POP_2019.xlsx",19.4565944901171,34,"PA","DeepHole","7/11/2019","8:30","PML",0,2,140,"1","","PA_DeepHole_20190711_830_PML_2_Limno.Sample.20160505"
"P154",0.454,1,"Run6_POP_2019.xlsx",75.6781077315726,34,"PA","DeepHole","7/11/2019","8:30","Hypo",8,8,140,"1","","PA_DeepHole_20190711_830_Hypo_8_Limno.Sample.20160505"
"P155",0.165,1,"Run5_POP_2019.xlsx",27.772351658254,34,"PE","DeepHole","7/11/2019","9:49","PML",0,2,140,"1","","PE_DeepHole_20190711_949_PML_2_Limno.Sample.20160505"
"P156",0.361,1,"Run3_POP_2019.xlsx",59.8352941762459,34,"PE","DeepHole","7/11/2019","9:49","Hypo",9,9,140,"1","","PE_DeepHole_20190711_949_Hypo_9_Limno.Sample.20160505"
"P157",0.606,1,"Run6_POP_2019.xlsx",100.609453537198,17,"MO","DeepHole","7/15/2019","9:44","PML",0,1,140,"1","","MO_DeepHole_20190715_944_PML_1_Limno.Sample.20160505"
"P158",1.004,1,"Run5_POP_2019.xlsx",173.124857159648,17,"MO","DeepHole","7/15/2019","9:44","Hypo",4.5,4.5,140,"1","","MO_DeepHole_20190715_944_Hypo_4.5_Limno.Sample.20160505"
"P159",0.321,1,"Run3_POP_2019.xlsx",52.8585868091251,17,"MO","Outlet","7/15/2019","9:44","Surface",0,0,140,"1","","MO_Outlet_20190715_944_Surface_0_Limno.Sample.20160505"
"P16",0.259,1,"Run6_POP_2019.xlsx",43.6938154151447,15,"CR","DeepHole","5/20/2019","9:37","Hypo",8,8,140,"1","","CR_DeepHole_20190520_937_Hypo_8_Limno.Sample.20160505"
"P160",0.322,1,"Run3_POP_2019.xlsx",53.0330044933031,17,"MO","Inlet1","7/15/2019","9:44","Surface",0,0,140,"1","","MO_Inlet1_20190715_944_Surface_0_Limno.Sample.20160505"
"P161",0.402,1,"Run5_POP_2019.xlsx",68.8314026759303,17,"MO","Inlet2","7/15/2019","9:44","Surface",0,0,140,"1","","MO_Inlet2_20190715_944_Surface_0_Limno.Sample.20160505"
"P162",0.52,1,"Run6_POP_2019.xlsx",86.5035605155943,17,"MO","Inlet3","7/15/2019","9:44","Surface",0,0,140,"1","","MO_Inlet3_20190715_944_Surface_0_Limno.Sample.20160505"
"P163",0.284,1,"Run3_POP_2019.xlsx",46.4051324945384,3,"FE","DeepHole","7/16/2019","9:32","PML",0,1,140,"1","","FE_DeepHole_20190716_932_PML_1_Limno.Sample.20160505"
"P164",0.658,1,"Run4_POP_2019.xlsx",113.037296849358,3,"FE","DeepHole","7/16/2019","9:32","Hypo",8,8,140,"1","","FE_DeepHole_20190716_932_Hypo_8_Limno.Sample.20160505"
"P165",0.447,1,"Run4_POP_2019.xlsx",76.8552081970066,3,"FE","Inlet1","7/16/2019","9:32","Surface",0,0,140,"1","","FE_Inlet1_20190716_932_Surface_0_Limno.Sample.20160505"
"P166",0.13,1,"Run4_POP_2019.xlsx",22.4963356719107,3,"WL","DeepHole","7/16/2019","8:35","PML",0,2,140,"1","","WL_DeepHole_20190716_835_PML_2_Limno.Sample.20160505"
"P167",0.705,1,"Run6_POP_2019.xlsx",116.847632713231,3,"WL","DeepHole","7/16/2019","8:35","Hypo",8,8,140,"1","","WL_DeepHole_20190716_835_Hypo_8_Limno.Sample.20160505"
"P169",0.17,1,"Run4_POP_2019.xlsx",29.3554993974749,3,"CR","DeepHole","7/18/2019","8:33","Hypo",10,10,140,"1","","CR_DeepHole_20190718_833_Hypo_10_Limno.Sample.20160505"
"P17",0.28,1,"Run6_POP_2019.xlsx",47.1382776646062,15,"CR","Outlet","5/20/2019","9:37","Surface",0,0,140,"1","","CR_Outlet_20190520_937_Surface_0_Limno.Sample.20160505"
"P170",0.166,1,"Run6_POP_2019.xlsx",28.4397683103868,34,"PA","DeepHole","7/18/2019","8:27","PML",0,2,140,"1","","PA_DeepHole_20190718_827_PML_2_Limno.Sample.20160505"
"P171",0.683,1,"Run6_POP_2019.xlsx",113.23914845189,34,"PA","DeepHole","7/18/2019","8:27","Hypo",8,8,140,"1","","PA_DeepHole_20190718_827_Hypo_8_Limno.Sample.20160505"
"P172",0.203,1,"Run3_POP_2019.xlsx",32.2773000761188,3,"ME","DeepHole","7/18/2019","14:00","PML",0,2,140,"1","","ME_DeepHole_20190718_1400_PML_2_Limno.Sample.20160505"
"P173",0.323,1,"Run3_POP_2019.xlsx",53.2074221774811,3,"ME","DeepHole","7/18/2019","14:00","Hypo",4,4,140,"1","","ME_DeepHole_20190718_1400_Hypo_4_Limno.Sample.20160505"
"P174",0.315,1,"Run3_POP_2019.xlsx",51.812080704057,3,"ME","Outlet","7/18/2019","14:00","Surface",0,0,140,"1","","ME_Outlet_20190718_1400_Surface_0_Limno.Sample.20160505"
"P175",0.224,1,"Run6_POP_2019.xlsx",37.9530449993756,34,"PE","DeepHole","7/18/2019","14:15","PML",0,2,140,"1","","PE_DeepHole_20190718_1415_PML_2_Limno.Sample.20160505"
"P176",0.573,1,"Run2_POP_2019.xlsx",80.6227947484115,34,"PE","DeepHole","7/18/2019","14:15","Hypo",9,9,140,"1","","PE_DeepHole_20190718_1415_Hypo_9_Limno.Sample.20160505"
"P177",0.394,1,"Run1_POP_2019.xlsx",61.9076111189107,17,"BO","DeepHole","7/19/2019","9:30","PML",0,0.5,140,"1","","BO_DeepHole_20190719_930_PML_0.5_Limno.Sample.20160505"
"P178",0.561,1,"Run1_POP_2019.xlsx",87.0464909731003,17,"BO","DeepHole","7/19/2019","9:30","Hypo",2,2,140,"1","","BO_DeepHole_20190719_930_Hypo_2_Limno.Sample.20160505"
"P179",0.223,1,"Run1_POP_2019.xlsx",36.1666024059381,17,"HB","DeepHole","7/19/2019","10:44","PML",0,0.5,140,"1","","HB_DeepHole_20190719_1044_PML_0.5_Limno.Sample.20160505"
"P18",0.299,1,"Run6_POP_2019.xlsx",50.2546958903094,15,"HB","DeepHole","5/20/2019","12:40","PML",0,0.5,140,"1","","HB_DeepHole_20190520_1240_PML_0.5_Limno.Sample.20160505"
"P180",0.516,1,"Run1_POP_2019.xlsx",80.2725413117917,17,"HB","DeepHole","7/19/2019","10:44","Hypo",4,4,140,"1","","HB_DeepHole_20190719_1044_Hypo_4_Limno.Sample.20160505"
"P181",0.391,1,"Run1_POP_2019.xlsx",61.4560144748235,17,"HB","Outlet","7/19/2019","10:44","Surface",0,0,140,"1","","HB_Outlet_20190719_1044_Surface_0_Limno.Sample.20160505"
"P182",0.209,1,"Run5_POP_2019.xlsx",35.3951290623796,3,"FE","DeepHole","7/22/2019","9:10","PML",0,2,140,"1","","FE_DeepHole_20190722_910_PML_2_Limno.Sample.20160505"
"P183",0.589,1,"Run5_POP_2019.xlsx",101.228206643464,3,"FE","DeepHole","7/22/2019","9:10","Hypo",8,8,140,"1","","FE_DeepHole_20190722_910_Hypo_8_Limno.Sample.20160505"
"P184",0.093,1,"Run4_POP_2019.xlsx",16.1516092257639,3,"FE","Inlet1","7/22/2019","9:10","Surface",0,0,140,"1","","FE_Inlet1_20190722_910_Surface_0_Limno.Sample.20160505"
"P185",0.23,1,"Run5_POP_2019.xlsx",39.0332728234395,3,"WL","DeepHole","7/22/2019","8:30","PML",0,2.5,140,"1","","WL_DeepHole_20190722_830_PML_2.5_Limno.Sample.20160505"
"P186",0.741,1,"Run6_POP_2019.xlsx",122.752425140879,3,"WL","DeepHole","7/22/2019","8:30","Hypo",8,8,140,"1","","WL_DeepHole_20190722_830_Hypo_8_Limno.Sample.20160505"
"P187",0.304,1,"Run3_POP_2019.xlsx",49.8934861780988,17,"BR","DeepHole","7/22/2019","10:20","PML",0,2.5,140,"1","","BR_DeepHole_20190722_1020_PML_2.5_Limno.Sample.20160505"
"P188",0.866,1,"Run1_POP_2019.xlsx",132.958816455303,17,"BR","DeepHole","7/22/2019","10:20","Hypo",4.5,4.5,140,"1","","BR_DeepHole_20190722_1020_Hypo_4.5_Limno.Sample.20160505"
"P189",0.178,1,"Run5_POP_2019.xlsx",30.0245358912911,17,"WA","DeepHole","7/22/2019","8:36","PML",0,1,140,"1","","WA_DeepHole_20190722_836_PML_1_Limno.Sample.20160505"
"P19",0.374,1,"Run2_POP_2019.xlsx",53.4941371373582,15,"HB","DeepHole","5/20/2019","12:40","Hypo",3,3,140,"1","","HB_DeepHole_20190520_1240_Hypo_3_Limno.Sample.20160505"
"P190",1.783,1,"Run4_POP_2019.xlsx",305.951276630849,17,"WA","DeepHole","7/22/2019","8:36","Hypo",4.5,4.5,140,"1","","WA_DeepHole_20190722_836_Hypo_4.5_Limno.Sample.20160505"
"P191",0.168,1,"Run3_POP_2019.xlsx",26.1726811298881,17,"BA","DeepHole","7/25/2019","9:25","PML",0,3,140,"1","","BA_DeepHole_20190725_925_PML_3_Limno.Sample.20160505"
"P192",0.252,1,"Run3_POP_2019.xlsx",40.8237666008418,17,"BA","DeepHole","7/25/2019","9:25","Hypo",6.5,6.5,140,"1","","BA_DeepHole_20190725_925_Hypo_6.5_Limno.Sample.20160505"
"P193",0.285,1,"Run1_POP_2019.xlsx",45.4995997170744,17,"TU","DeepHole","7/25/2019","8:40","PML",0,2,140,"1","","TU_DeepHole_20190725_840_PML_2_Limno.Sample.20160505"
"P194",0.496,1,"Run3_POP_2019.xlsx",83.3816815402785,17,"TU","DeepHole","7/25/2019","8:40","Hypo",5,5,140,"1","","TU_DeepHole_20190725_840_Hypo_5_Limno.Sample.20160505"
"P195",0.124,1,"Run4_POP_2019.xlsx",21.4674611130761,34,"PA","DeepHole","7/25/2019","8:38","PML",0,2.5,140,"1","","PA_DeepHole_20190725_838_PML_2.5_Limno.Sample.20160505"
"P196",0.322,1,"Run4_POP_2019.xlsx",55.4203215546187,34,"PA","DeepHole","7/25/2019","8:38","Hypo",7.5,7.5,140,"1","","PA_DeepHole_20190725_838_Hypo_7.5_Limno.Sample.20160505"
"P197",0.355,1,"Run2_POP_2019.xlsx",50.9039637976093,34,"PE","DeepHole","7/25/2019","10:18","PML",0,2,140,"1","","PE_DeepHole_20190725_1018_PML_2_Limno.Sample.20160505"
"P198",0.743,1,"Run1_POP_2019.xlsx",114.443354047726,34,"PE","DeepHole","7/25/2019","10:18","Hypo",9,9,140,"1","","PE_DeepHole_20190725_1018_Hypo_9_Limno.Sample.20160505"
"P199",0.247,1,"Run6_POP_2019.xlsx",41.7255512725953,17,"CB","DeepHole","7/29/2019","10:02","PML",0,1,140,"1","","CB_DeepHole_20190729_1002_PML_1_Limno.Sample.20160505"
"P2",0.507,1,"Run6_POP_2019.xlsx",84.3712743611658,3,"FE","DeepHole","5/8/2019","12:20","Hypo",8,8,140,"1","","FE_DeepHole_20190508_1220_Hypo_8_Limno.Sample.20160505"
"P20",0.209,1,"Run2_POP_2019.xlsx",31.000526555329,15,"HB","Outlet","5/20/2019","12:40","Surface",0,0,140,"1","","HB_Outlet_20190520_1240_Surface_0_Limno.Sample.20160505"
"P200",0.329,1,"Run4_POP_2019.xlsx",56.6206752065924,17,"CB","DeepHole","7/29/2019","10:02","Hypo",5,5,140,"1","","CB_DeepHole_20190729_1002_Hypo_5_Limno.Sample.20160505"
"P201",0.823,1,"Run6_POP_2019.xlsx",136.202230114967,17,"NG","DeepHole","7/29/2019","8:36","PML",0,0.75,140,"1","","NG_DeepHole_20190729_836_PML_0.75_Limno.Sample.20160505"
"P202",0.492,1,"Run6_POP_2019.xlsx",81.910944182979,17,"NG","DeepHole","7/29/2019","8:36","Hypo",4.5,4.5,140,"1","","NG_DeepHole_20190729_836_Hypo_4.5_Limno.Sample.20160505"
"P203",0.284,1,"Run5_POP_2019.xlsx",48.3884996375936,3,"FE","DeepHole","7/30/2019","10:01","PML",0,2,140,"1","","FE_DeepHole_20190730_1001_PML_2_Limno.Sample.20160505"
"P204",0.649,1,"Run5_POP_2019.xlsx",111.622903103635,3,"FE","DeepHole","7/30/2019","10:01","Hypo",8,8,140,"1","","FE_DeepHole_20190730_1001_Hypo_8_Limno.Sample.20160505"
"P205",0.118,1,"Run5_POP_2019.xlsx",19.6298394311199,3,"FE","Inlet1","7/30/2019","10:01","Surface",0,0,140,"1","","FE_Inlet1_20190730_1001_Surface_0_Limno.Sample.20160505"
"P206",0.207,1,"Run5_POP_2019.xlsx",35.0486391803739,3,"ME","DeepHole","7/30/2019","10:41","PML",0,2,140,"1","","ME_DeepHole_20190730_1041_PML_2_Limno.Sample.20160505"
"P207",0.305,1,"Run5_POP_2019.xlsx",52.0266433986535,3,"ME","DeepHole","7/30/2019","10:41","Hypo",3,3,140,"1","","ME_DeepHole_20190730_1041_Hypo_3_Limno.Sample.20160505"
"P208",0.255,1,"Run2_POP_2019.xlsx",37.2714725357735,3,"ME","Outlet","7/30/2019","10:41","Surface",0,0,140,"1","","ME_Outlet_20190730_1041_Surface_0_Limno.Sample.20160505"
"P209",0.261,1,"Run6_POP_2019.xlsx",44.0218594389029,3,"WL","DeepHole","7/30/2019","8:42","PML",0,2.5,140,"1","","WL_DeepHole_20190730_842_PML_2.5_Limno.Sample.20160505"
"P21",0.627,1,"Run3_POP_2019.xlsx",106.230398167599,3,"FE","DeepHole","5/21/2019","10:08","PML",0,1,140,"1","","FE_DeepHole_20190521_1008_PML_1_Limno.Sample.20160505"
"P210",0.216,1,"Run5_POP_2019.xlsx",36.6078436493996,3,"WL","DeepHole","7/30/2019","8:42","Hypo",8,8,140,"1","","WL_DeepHole_20190730_842_Hypo_8_Limno.Sample.20160505"
"P211",0.172,1,"Run3_POP_2019.xlsx",26.8703518666002,17,"CR","DeepHole","7/31/2019","10:50","PML",0,4,140,"1","","CR_DeepHole_20190731_1050_PML_4_Limno.Sample.20160505"
"P212",0.245,1,"Run2_POP_2019.xlsx",35.9082234095899,17,"CR","DeepHole","7/31/2019","10:50","Hypo",9,9,140,"1","","CR_DeepHole_20190731_1050_Hypo_9_Limno.Sample.20160505"
"P213",0.252,1,"Run3_POP_2019.xlsx",40.8237666008418,17,"CR","Outlet","7/31/2019","10:50","Surface",0,0,140,"1","","CR_Outlet_20190731_1050_Surface_0_Limno.Sample.20160505"
"P214",0.308,1,"Run6_POP_2019.xlsx",51.7308939972214,17,"MO","DeepHole","7/31/2019","9:38","PML",0,2,140,"1","","MO_DeepHole_20190731_938_PML_2_Limno.Sample.20160505"
"P215",0.909,1,"Run5_POP_2019.xlsx",156.666587764377,17,"MO","DeepHole","7/31/2019","9:38","Hypo",4.5,4.5,120,"1","","MO_DeepHole_20190731_938_Hypo_4.5_Limno.Sample.20160505"
"P216",0.386,1,"Run6_POP_2019.xlsx",64.5246109237926,17,"MO","Outlet","7/31/2019","9:38","Surface",0,0,70,"1","","MO_Outlet_20190731_938_Surface_0_Limno.Sample.20160505"
"P217",0.392,1,"Run6_POP_2019.xlsx",65.5087429950673,17,"MO","Inlet1","7/31/2019","9:38","Surface",0,0,140,"1","","MO_Inlet1_20190731_938_Surface_0_Limno.Sample.20160505"
