"pocID","runID","trayLoc","PON.mg","POC.mg","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POC","PON","ID"
"P160","RN_20210203_run2_028","P1E3",0.009521640883166,0.07206967957352,15,"HB","DeepHole","8/18/2020","9:50","PML",0,0.5,120,"1","","HB_DeepHole_20200818_0950_PML_0.5_Limno.Sample.20160505",600.581,79.347,160
"P162","RN_20210203_run2_040","P1F2",0.007268889731488,0.06555669712542,15,"HB","Outlet","8/18/2020","9:50","Surface",0,0,120,"1","","HB_Outlet_20200818_0950_Surface_0_Limno.Sample.20160505",546.306,60.574,162
"P169","RN_20210203_run2_039","P1F1",0.008896428379213,0.08949408161465,3,"FE","Inlet1","8/20/2020","11:32","Surface",0,0,120,"1","","FE_Inlet1_20200820_1132_Surface_0_Limno.Sample.20160505",745.784,74.137,169
"P170","RN_20210203_run2_037","P1E12",0.009849732274559,0.08732716618756,17,"ME","DeepHole","8/20/2020","10:54","PML",0,2,120,"1","","ME_DeepHole_20200820_1054_PML_2_Limno.Sample.20160505",727.726,82.081,170
"P171","RN_20210203_run2_036","P1E11",0.0125648915704,0.1123048091101,17,"ME","DeepHole","8/20/2020","10:54","Hypo",3.5,3.5,120,"1","","ME_DeepHole_20200820_1054_Hypo_3.5_Limno.Sample.20160505",935.873,104.707,171
"P172","RN_20210203_run2_035","P1E10",0.01494228126271,0.1221049485761,17,"ME","Outlet","8/20/2020","10:54","Surface",0,0,120,"1","","ME_Outlet_20200820_1054_Surface_0_Limno.Sample.20160505",1017.541,124.519,172
"P183","RN_20210203_run2_020","P1D8",0.01268115635357,0.09242963937251,35,"MI","DeepHole","8/26/2020","10:25","PML",0,0.5,120,"1","","MI_DeepHole_20200826_1025_PML_0.5_Limno.Sample.20160505",770.247,105.676,183
"P184","RN_20210203_run2_019","P1D7",0.00681691722476,0.05926366417273,35,"MI","DeepHole","8/26/2020","10:25","Hypo",9,9,120,"1","","MI_DeepHole_20200826_1025_Hypo_9_Limno.Sample.20160505",493.864,56.808,184
"P185","RN_20210203_run2_018","P1D6",0.0181799798555,0.1361638771066,35,"TR","DeepHole","8/26/2020","9:15","PML",0,0.5,120,"1","","TR_DeepHole_20200826_0915_PML_0.5_Limno.Sample.20160505",1134.699,151.5,185
"P186","RN_20210203_run2_017","P1D5",0.01264904993679,0.09838673468868,35,"TR","DeepHole","8/26/2020","9:15","Hypo",5,5,120,"1","","TR_DeepHole_20200826_0915_Hypo_5_Limno.Sample.20160505",819.889,105.409,186
