"sample","abs","dilution","runID","TN","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID","flag"
"U148",0.00615764607321211,1,"TN_reruns_20210419.csv",627.870305088659,3,"WL","DeepHole","8/11/2020","9:48","Hypo",8,8,NA,"WL_DeepHole_20200811_0948_Hypo_8_Limno.Sample.20160505",NA
"U149",0.00572581592055879,1,"TN_run1_20201028.csv",644.591762832211,17,"BO","DeepHole","8/12/2020","10:55","PML",0,0,NA,"BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505",NA
"U15",0.004928078,1,"TN_run2_202011102.csv",548.203685069398,3,"FE","DeepHole","6/9/2020","11:48","Hypo",8,8,NA,"FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505",NA
"U150",0.006192197,1,"TN_run3_202011112.csv",850.312364737133,17,"BO","DeepHole","8/12/2020","10:55","Hypo",2,2,NA,"BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505",NA
"U151",0.00482739,1,"TN_run3_202011112.csv",382.180577443119,17,"CB","DeepHole","8/12/2020","9:15","PML",0,0.5,NA,"CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505",NA
"U152",NA,NA,NA,391.101704464342,17,"CB","DeepHole","8/12/2020","9:15","Hypo",3,3,"failed QA/QC range check; reruns quite different; rerun reported","CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505","1"
"U153",0.005279117,1,"TN_run3_202011112.csv",537.123926853668,17,"NG","DeepHole","8/14/2020","10:00","PML",0,0,NA,"NG_DeepHole_20200814_1000_PML_0_Limno.Sample.20160505",NA
"U154",0.00618115409611512,1,"TN_run1_20201028.csv",808.950731833651,17,"NG","DeepHole","8/14/2020","10:00","Hypo",3.5,3.5,NA,"NG_DeepHole_20200814_1000_Hypo_3.5_Limno.Sample.20160505",NA
"U155",0.0056815761294594,1,"TN_run1_20201028.csv",628.622958009178,17,"WA","DeepHole","8/14/2020","11:15","PML",0,0.5,NA,"WA_DeepHole_20200814_1115_PML_0.5_Limno.Sample.20160505",NA
"U156",0.00591291817402135,1,"TN_run1_20201028.csv",712.128233806515,17,"WA","DeepHole","8/14/2020","11:15","Hypo",4,4,NA,"WA_DeepHole_20200814_1115_Hypo_4_Limno.Sample.20160505",NA
"U157",0.00468504634821736,1,"TN_run1_20201028.csv",268.915346794599,15,"CR","DeepHole","8/17/2020","9:30","PML",0,3,NA,"CR_DeepHole_20200817_0930_PML_3_Limno.Sample.20160505",NA
"U158",0.00498615267892532,1,"TN_run1_20201028.csv",377.602754817221,15,"CR","DeepHole","8/17/2020","9:30","Hypo",8,8,NA,"CR_DeepHole_20200817_0930_Hypo_8_Limno.Sample.20160505",NA
"U159",0.004964892,1,"TN_run3_202011112.csv",429.344064307197,15,"CR","Outlet","8/17/2020","9:30","Surface",0,0,NA,"CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505",NA
"U16",0.006499268,1,"TN_run2_202011102.csv",1101.10281003669,3,"FE","Inlet1","6/9/2020","11:48","Surface",0,0,NA,"FE_Inlet1_20200609_1148_Surface_0_Limno.Sample.20160505",NA
"U160",0.00571034727406453,1,"TN_run1_20201028.csv",639.008196757308,15,"HB","DeepHole","8/18/2020","9:50","PML",0,0.5,NA,"HB_DeepHole_20200818_0950_PML_0.5_Limno.Sample.20160505",NA
"U161",0.00626703,1,"TN_run3_202011112.csv",875.980247477017,15,"HB","DeepHole","8/18/2020","9:50","Hypo",4,4,NA,"HB_DeepHole_20200818_0950_Hypo_4_Limno.Sample.20160505",NA
"U162",0.005669739,1,"TN_run3_202011112.csv",671.108127562165,15,"HB","Outlet","8/18/2020","9:50","Surface",0,0,NA,"HB_Outlet_20200818_0950_Surface_0_Limno.Sample.20160505",NA
"U163",0.00549195402573456,1,"TN_run1_20201028.csv",560.176921324422,15,"MO","DeepHole","8/19/2020","10:15","PML",0,1.5,NA,"MO_DeepHole_20200819_1015_PML_1.5_Limno.Sample.20160505",NA
"U164",0.006452755,1,"TN_run3_202011112.csv",939.684328856421,15,"MO","DeepHole","8/19/2020","10:15","Hypo",4.5,4.5,NA,"MO_DeepHole_20200819_1015_Hypo_4.5_Limno.Sample.20160505",NA
"U165",0.005240805,1,"TN_run3_202011112.csv",523.982827024309,15,"MO","Inlet1","8/19/2020","10:15","Surface",0,0,NA,"MO_Inlet1_20200819_1015_Surface_0_Limno.Sample.20160505",NA
"U166",0.005613177,1,"TN_run3_202011112.csv",651.707237800518,15,"MO","Inlet2","8/19/2020","10:15","Surface",0,0,NA,"MO_Inlet2_20200819_1015_Surface_0_Limno.Sample.20160505",NA
"U167",0.005129633,1,"TN_run3_202011112.csv",485.850587772129,3,"FE","DeepHole","8/20/2020","11:32","PML",0,1.5,NA,"FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505",NA
"U168",0.005725275,1,"TN_run3_202011112.csv",690.157097078852,3,"FE","DeepHole","8/20/2020","11:32","Hypo",8,8,NA,"FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505",NA
"U169",0.008551017,1,"TN_run3_202011112.csv",1659.39278600172,3,"FE","Inlet1","8/20/2020","11:32","Surface",0,0,NA,"FE_Inlet1_20200820_1132_Surface_0_Limno.Sample.20160505",NA
"U17",0.004547348,1,"TN_run2_202011102.csv",414.225436831568,3,"WL","DeepHole","6/9/2020","10:20","PML",0,1,NA,"WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505",NA
"U170",0.00512482874216791,1,"TN_run1_20201028.csv",427.659297411926,17,"ME","DeepHole","8/20/2020","10:54","PML",0,2,NA,"ME_DeepHole_20200820_1054_PML_2_Limno.Sample.20160505",NA
"U171",0.00508735068400794,1,"TN_run1_20201028.csv",414.131209212813,17,"ME","DeepHole","8/20/2020","10:54","Hypo",3.5,3.5,NA,"ME_DeepHole_20200820_1054_Hypo_3.5_Limno.Sample.20160505",NA
"U172",0.005294222,1,"TN_run3_202011112.csv",542.304974904474,17,"ME","Outlet","8/20/2020","10:54","Surface",0,0,NA,"ME_Outlet_20200820_1054_Surface_0_Limno.Sample.20160505",NA
"U173",0.005021583,1,"TN_run3_202011112.csv",448.789201351105,3,"WL","DeepHole","8/20/2020","9:10","PML",0,2,NA,"WL_DeepHole_20200820_0910_PML_2_Limno.Sample.20160505",NA
"U174",0.005921371,1,"TN_run3_202011112.csv",757.418454150736,3,"WL","DeepHole","8/20/2020","9:10","Hypo",8,8,NA,"WL_DeepHole_20200820_0910_Hypo_8_Limno.Sample.20160505",NA
"U175",0.005261764,1,"TN_run3_202011112.csv",531.17180988408,35,"NH","DeepHole","8/24/2020","10:50","PML",0,2,NA,"NH_DeepHole_20200824_1050_PML_2_Limno.Sample.20160505",NA
"U176",0.005893102,1,"TN_run3_202011112.csv",747.722125296169,35,"NH","DeepHole","8/24/2020","10:50","Hypo",3,3,NA,"NH_DeepHole_20200824_1050_Hypo_3_Limno.Sample.20160505",NA
"U177",0.0050317999938094,1,"TN_run1_20201028.csv",394.079619738254,35,"SE","DeepHole","8/24/2020","11:55","PML",0,5,NA,"SE_DeepHole_20200824_1155_PML_5_Limno.Sample.20160505",NA
"U178",0.005323975,1,"TN_run3_202011112.csv",552.510319006137,35,"SE","DeepHole","8/24/2020","11:55","Hypo",5.5,5.5,NA,"SE_DeepHole_20200824_1155_Hypo_5.5_Limno.Sample.20160505",NA
"U179",0.004965376,1,"TN_run3_202011112.csv",429.510077366223,35,"BH","DeepHole","8/25/2020","9:50","PML",0,5,NA,"BH_DeepHole_20200825_0950_PML_5_Limno.Sample.20160505",NA
"U18",0.004903201,1,"TN_run2_202011102.csv",539.449510506289,3,"WL","DeepHole","6/9/2020","10:20","Hypo",8,8,NA,"WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505",NA
"U180",0.005240718,1,"TN_run3_202011112.csv",523.952985833947,35,"BH","DeepHole","8/25/2020","9:50","Hypo",10,10,NA,"BH_DeepHole_20200825_0950_Hypo_10_Limno.Sample.20160505",NA
