"projectID","lakeID","sampleID","dateSample","parameter","parameterValue","QCcode","flag","comments","metadataID","updateID"
3,"FE","FE_DeepHole_20190521_1008_PML_1_Limno.Sample.20160505",2019-05-21,"PON",700,NA,1,"C: slightly higher than normal; okN: much higher than normal, N and C elevated, maybe ok ","Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190528_1058_Hypo_8_Limno.Sample.20160505",2019-05-28,"PON",60,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190528_1058_PML_1.5_Limno.Sample.20160505",2019-05-28,"PON",128,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190604_1011_Hypo_8_Limno.Sample.20160505",2019-06-04,"PON",93,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190604_1011_PML_1.5_Limno.Sample.20160505",2019-06-04,"PON",114,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190611_1058_Hypo_8_Limno.Sample.20160505",2019-06-11,"PON",93,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190611_1058_PML_1_Limno.Sample.20160505",2019-06-11,"PON",114,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190618_952_Hypo_8_Limno.Sample.20160505",2019-06-18,"PON",111,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190618_952_PML_1.5_Limno.Sample.20160505",2019-06-18,"PON",135,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190625_928_Hypo_8_Limno.Sample.20160505",2019-06-25,"PON",146,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190625_928_PML_1.5_Limno.Sample.20160505",2019-06-25,"PON",126,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190702_908_Hypo_8_Limno.Sample.20160505",2019-07-02,"PON",91,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_DeepHole_20190702_908_PML_1.5_Limno.Sample.20160505",2019-07-02,"PON",262,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
