"sample","abs","df","runID","POPinBottle","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POP"
"P196",0.322,1,"Run4_POP_2019.xlsx",55.4203215546187,34,"PA","DeepHole","7/25/2019","8:38","Hypo",7.5,7.5,140,"1","","PA_DeepHole_20190725_838_Hypo_7.5_Limno.Sample.20160505",11.8757831902754
"P197",0.355,1,"Run2_POP_2019.xlsx",50.9039637976093,34,"PE","DeepHole","7/25/2019","10:18","PML",0,2,140,"1","","PE_DeepHole_20190725_1018_PML_2_Limno.Sample.20160505",10.9079922423449
"P198",0.743,1,"Run1_POP_2019.xlsx",114.443354047726,34,"PE","DeepHole","7/25/2019","10:18","Hypo",9,9,140,"1","","PE_DeepHole_20190725_1018_Hypo_9_Limno.Sample.20160505",24.5235758673698
"P199",0.247,1,"Run6_POP_2019.xlsx",41.7255512725953,17,"CB","DeepHole","7/29/2019","10:02","PML",0,1,140,"1","","CB_DeepHole_20190729_1002_PML_1_Limno.Sample.20160505",8.94118955841328
"P2",0.507,1,"Run6_POP_2019.xlsx",84.3712743611658,3,"FE","DeepHole","5/8/2019","12:20","Hypo",8,8,140,"1","","FE_DeepHole_20190508_1220_Hypo_8_Limno.Sample.20160505",18.0795587916784
"P20",0.209,1,"Run2_POP_2019.xlsx",31.000526555329,15,"HB","Outlet","5/20/2019","12:40","Surface",0,0,140,"1","","HB_Outlet_20190520_1240_Surface_0_Limno.Sample.20160505",6.64296997614192
"P200",0.329,1,"Run4_POP_2019.xlsx",56.6206752065924,17,"CB","DeepHole","7/29/2019","10:02","Hypo",5,5,140,"1","","CB_DeepHole_20190729_1002_Hypo_5_Limno.Sample.20160505",12.1330018299841
"P201",0.823,1,"Run6_POP_2019.xlsx",136.202230114967,17,"NG","DeepHole","7/29/2019","8:36","PML",0,0.75,140,"1","","NG_DeepHole_20190729_836_PML_0.75_Limno.Sample.20160505",29.1861921674929
"P202",0.492,1,"Run6_POP_2019.xlsx",81.910944182979,17,"NG","DeepHole","7/29/2019","8:36","Hypo",4.5,4.5,140,"1","","NG_DeepHole_20190729_836_Hypo_4.5_Limno.Sample.20160505",17.5523451820669
"P203",0.284,1,"Run5_POP_2019.xlsx",48.3884996375936,3,"FE","DeepHole","7/30/2019","10:01","PML",0,2,140,"1","","FE_DeepHole_20190730_1001_PML_2_Limno.Sample.20160505",10.3689642080558
"P204",0.649,1,"Run5_POP_2019.xlsx",111.622903103635,3,"FE","DeepHole","7/30/2019","10:01","Hypo",8,8,140,"1","","FE_DeepHole_20190730_1001_Hypo_8_Limno.Sample.20160505",23.9191935222075
"P205",0.118,1,"Run5_POP_2019.xlsx",19.6298394311199,3,"FE","Inlet1","7/30/2019","10:01","Surface",0,0,140,"1","","FE_Inlet1_20190730_1001_Surface_0_Limno.Sample.20160505",4.20639416381141
"P206",0.207,1,"Run5_POP_2019.xlsx",35.0486391803739,3,"ME","DeepHole","7/30/2019","10:41","PML",0,2,140,"1","","ME_DeepHole_20190730_1041_PML_2_Limno.Sample.20160505",7.51042268150869
"P207",0.305,1,"Run5_POP_2019.xlsx",52.0266433986535,3,"ME","DeepHole","7/30/2019","10:41","Hypo",3,3,140,"1","","ME_DeepHole_20190730_1041_Hypo_3_Limno.Sample.20160505",11.1485664425686
"P208",0.255,1,"Run2_POP_2019.xlsx",37.2714725357735,3,"ME","Outlet","7/30/2019","10:41","Surface",0,0,140,"1","","ME_Outlet_20190730_1041_Surface_0_Limno.Sample.20160505",7.9867441148086
"P209",0.261,1,"Run6_POP_2019.xlsx",44.0218594389029,3,"WL","DeepHole","7/30/2019","8:42","PML",0,2.5,140,"1","","WL_DeepHole_20190730_842_PML_2.5_Limno.Sample.20160505",9.43325559405063
"P21",0.241,1,"reruns_POP_2019_20210505.xlsx",39.9789997390309,3,"FE","DeepHole","5/21/2019","10:08","PML",0,1,140,"1","","FE_DeepHole_20190521_1008_PML_1_Limno.Sample.20160505",8.56692851550662
"P21",0.627,1,"Run3_POP_2019.xlsx",106.230398167599,3,"FE","DeepHole","5/21/2019","10:08","PML",0,1,140,"1","","FE_DeepHole_20190521_1008_PML_1_Limno.Sample.20160505",22.7636567501998
"P210",0.216,1,"Run5_POP_2019.xlsx",36.6078436493996,3,"WL","DeepHole","7/30/2019","8:42","Hypo",8,8,140,"1","","WL_DeepHole_20190730_842_Hypo_8_Limno.Sample.20160505",7.84453792487134
"P211",0.172,1,"Run3_POP_2019.xlsx",26.8703518666002,17,"CR","DeepHole","7/31/2019","10:50","PML",0,4,140,"1","","CR_DeepHole_20190731_1050_PML_4_Limno.Sample.20160505",5.7579325428429
"P212",0.245,1,"Run2_POP_2019.xlsx",35.9082234095899,17,"CR","DeepHole","7/31/2019","10:50","Hypo",9,9,140,"1","","CR_DeepHole_20190731_1050_Hypo_9_Limno.Sample.20160505",7.69461930205497
"P213",0.252,1,"Run3_POP_2019.xlsx",40.8237666008418,17,"CR","Outlet","7/31/2019","10:50","Surface",0,0,140,"1","","CR_Outlet_20190731_1050_Surface_0_Limno.Sample.20160505",8.74794998589466
"P214",0.308,1,"Run6_POP_2019.xlsx",51.7308939972214,17,"MO","DeepHole","7/31/2019","9:38","PML",0,2,140,"1","","MO_DeepHole_20190731_938_PML_2_Limno.Sample.20160505",11.0851915708332
"P215",0.909,1,"Run5_POP_2019.xlsx",156.666587764377,17,"MO","DeepHole","7/31/2019","9:38","Hypo",4.5,4.5,120,"1","","MO_DeepHole_20190731_938_Hypo_4.5_Limno.Sample.20160505",39.1666469410943
"P216",0.386,1,"Run6_POP_2019.xlsx",64.5246109237926,17,"MO","Outlet","7/31/2019","9:38","Surface",0,0,70,"1","","MO_Outlet_20190731_938_Surface_0_Limno.Sample.20160505",27.6534046816254
"P217",0.392,1,"Run6_POP_2019.xlsx",65.5087429950673,17,"MO","Inlet1","7/31/2019","9:38","Surface",0,0,140,"1","","MO_Inlet1_20190731_938_Surface_0_Limno.Sample.20160505",14.0375877846573
