"sample","abs","df","runID","POPinBottle","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POP"
"P133",0.108,1,"Run1_POP_2020_20210215.xlsx",23.7591227150753,3,"FE","DeepHole","8/4/2020","10:45","PML",0,2,120,"1","","FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505",5.93978067876882
"P134",0.346,1,"Run3_POP_2020_20210217.xlsx",63.3181916659252,3,"FE","DeepHole","8/4/2020","10:45","Hypo",8,8,120,"1","","FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505",15.8295479164813
"P135",0.128,1,"Run3_POP_2020_20210217.xlsx",23.6822880598574,3,"FE","Inlet1","8/4/2020","10:45","Surface",0,0,120,"1","","FE_Inlet1_20200804_1045_Surface_0_Limno.Sample.20160505",5.92057201496435
"P136",0.154,1,"Run3_POP_2020_20210217.xlsx",28.4095059211316,3,"WL","DeepHole","8/4/2020","8:45","PML",0,2.5,120,"1","","WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505",7.10237648028289
"P137",0.453,1,"Run2_POP_2020_20210217.xlsx",79.8827968855578,3,"WL","DeepHole","8/4/2020","8:45","Hypo",8,8,120,"1","","WL_DeepHole_20200804_0845_Hypo_8_Limno.Sample.20160505",19.9706992213894
"P138",0.154,1,"Run2_POP_2020_20210217.xlsx",25.2556976615055,15,"HB","DeepHole","8/5/2020","8:55","PML",0,1,120,"1","","HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505",6.31392441537637
"P139",0.361,1,"Run2_POP_2020_20210217.xlsx",63.0744586627725,15,"HB","DeepHole","8/5/2020","8:55","Hypo",4,4,120,"1","","HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505",15.7686146656931
"P14",0.111,1,"Run1_POP_2020_20210215.xlsx",24.3217892167567,3,"FE","DeepHole","6/9/2020","11:48","PML",0,0.5,120,"1","","FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505",6.08044730418917
"P140",0.214,1,"Run3_POP_2020_20210217.xlsx",39.3184702163796,15,"HB","Outlet","8/5/2020","8:55","Surface",0,0,120,"1","","HB_Outlet_20200805_0855_Surface_0_Limno.Sample.20160505",9.82961755409489
"P141",0.108,1,"Run1_POP_2020_20210215.xlsx",23.7591227150753,15,"CR","DeepHole","8/6/2020","9:22","PML",0,3.5,120,"1","","CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505",5.93978067876882
"P142",0.27,1,"Run3_POP_2020_20210217.xlsx",49.5001702252777,15,"CR","DeepHole","8/6/2020","9:22","Hypo",8,8,120,"1","","CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505",12.3750425563194
"P143",0.129,1,"Run3_POP_2020_20210217.xlsx",23.8641041314449,15,"CR","Outlet","8/6/2020","9:22","Surface",0,0,120,"1","","CR_Outlet_20200806_0922_Surface_0_Limno.Sample.20160505",5.96602603286122
"P144",0.143,1,"Run1_POP_2020_20210215.xlsx",30.3235652346916,3,"FE","DeepHole","8/11/2020","10:45","PML",0,1,120,"1","","FE_DeepHole_20200811_1045_PML_1_Limno.Sample.20160505",7.58089130867289
"P145",0.301,1,"Run2_POP_2020_20210217.xlsx",52.1124989522603,3,"FE","DeepHole","8/11/2020","10:45","Hypo",8,8,120,"1","","FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505",13.0281247380651
"P146",0.156,1,"Run2_POP_2020_20210217.xlsx",25.6210963185226,3,"FE","Inlet1","8/11/2020","10:45","Surface",0,0,120,"1","","FE_Inlet1_20200811_1045_Surface_0_Limno.Sample.20160505",6.40527407963064
"P147",0.132,1,"Run2_POP_2020_20210217.xlsx",21.2363124343177,3,"WL","DeepHole","8/11/2020","9:48","PML",0,1.5,120,"1","","WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505",5.30907810857942
"P148",0.451,1,"Run1_POP_2020_20210215.xlsx",88.0906594073147,3,"WL","DeepHole","8/11/2020","9:48","Hypo",8,8,120,"1","","WL_DeepHole_20200811_0948_Hypo_8_Limno.Sample.20160505",22.0226648518287
