"pocID","runID","trayLoc","PON.mg","POC.mg","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POC","PON"
"P106","RN_20210204_run3_019","P1G7",0.01690015535592,0.1029555824385,3,"WL","DeepHole","7/21/2020","9:57","Hypo",8,8,100,"1","","WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505",1.03,0.169
"P107","RN_20210204_run3_018","P1G6",0.006150544202331,0.03673146280859,3,"FE","DeepHole","7/22/2020","11:45","PML",0,2,120,"1","","FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505",0.306,0.051
"P108","RN_20210204_run3_017","P1G5",0.01016699746301,0.06473342641022,3,"FE","DeepHole","7/22/2020","11:45","Hypo",8,8,120,"1","","FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505",0.539,0.085
"P109","RN_20210204_run3_016","P1G4",0.004652771740377,0.04663599398695,3,"FE","Inlet1","7/22/2020","11:45","Surface",0,0,120,"1","","FE_Inlet1_20200722_1145_Surface_0_Limno.Sample.20160505",0.389,0.039
"P110","RN_20210204_run3_015","P1G3",0.006916920562316,0.04572206281899,15,"CR","DeepHole","7/23/2020","10:30","PML",0,3.5,120,"1","","CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505",0.381,0.058
"P111","RN_20210204_run3_014","P1G2",0.008584605896485,0.06183543496986,15,"CR","DeepHole","7/23/2020","10:30","Hypo",8,8,120,"1","","CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505",0.515,0.072
"P112","RN_20210204_run3_013","P1G1",0.005773182657952,0.03384379095102,15,"CR","Outlet","7/23/2020","10:30","Surface",0,0,120,"1","","CR_Outlet_20200723_1030_Surface_0_Limno.Sample.20160505",0.282,0.048
"P113","RN_20210203_run2_050","P1F12",0.005648967415921,0.05021310508292,17,"BA","DeepHole","7/27/2020","11:30","PML",0,2.5,120,"1","","BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505",0.418,0.047
"P114","RN_20210211_run5_043","P2G2",0.005801388123466,0.04518408646138,17,"BA","DeepHole","7/27/2020","11:30","Hypo",7,7,120,"1","","BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505",0.377,0.048
"P115","RN_20210211_run5_042","P2G1",0.01924753293533,0.1181787563195,17,"BR","DeepHole","7/27/2020","9:25","PML",0,2,100,"1","","BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505",1.182,0.192
"P116","RN_20210211_run5_037","P2F12",0.03248846041903,0.213739945436,17,"BR","DeepHole","7/27/2020","9:25","Hypo",4,4,100,"1","","BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505",2.137,0.325
"P117","RN_20210211_run5_036","P2F11",0.009467160208677,0.06238434993461,3,"FE","DeepHole","7/28/2020","12:10","PML",0,1,120,"1","","FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505",0.52,0.079
