"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","abs440","g440","metadataID","comments","flag","updateID"
"3","FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505","FE","DeepHole",2020-06-23,2020-06-23 11:25:00,"PML",0,1.5,0.423,9.74,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-23,2020-06-23 11:25:00,"Hypo",8,8,0.683,15.73,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_Inlet1_20200623_1125_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-06-23,2020-06-23 11:25:00,"Surface",0,0,2.296,52.88,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505","FE","DeepHole",2020-06-30,2020-06-30 11:30:00,"PML",0,1,0.386,8.89,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-30,2020-06-30 11:30:00,"Hypo",8,8,0.541,12.46,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505","FE","DeepHole",2020-07-07,2020-07-07 11:30:00,"PML",0,0.25,0.347,7.99,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-07-07,2020-07-07 11:30:00,"Hypo",8,8,0.712,16.4,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505","FE","DeepHole",2020-07-15,2020-07-15 10:15:00,"PML",0,1.5,0.358,8.24,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-07-15,2020-07-15 10:15:00,"Hypo",8,8,0.63,14.51,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_Inlet1_20200715_1015_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-07-15,2020-07-15 10:15:00,"Surface",0,0,1.936,44.59,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505","FE","DeepHole",2020-07-22,2020-07-22 11:45:00,"PML",0,2,0.384,8.84,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-07-22,2020-07-22 11:45:00,"Hypo",8,8,0.696,16.03,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_Inlet1_20200722_1145_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-07-22,2020-07-22 11:45:00,"Surface",0,0,2.323,53.5,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505","FE","DeepHole",2020-07-28,2020-07-28 12:10:00,"PML",0,1,0.481,11.08,"Color.20110601",NA,0,"tableColor.20210221"
"3","FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-07-28,2020-07-28 12:10:00,"Hypo",8,8,0.664,15.29,"Color.20110601",NA,0,"tableColor.20210221"
