"sample","abs","conc","df","runID","SRP","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID","ID","flag"
"F139",0.06,NA,1,"SRP_run3_20201113.xlsx",10.1062716392255,15,"HB","DeepHole","8/5/2020","8:55","Hypo",4,4,NA,"HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505",139,NA
"F14",0.023,NA,1,"SRP_run1_20201110.xlsx",3.67575588667898,3,"FE","DeepHole","6/9/2020","11:48","PML",0,0.5,NA,"FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505",14,NA
"F140",0.017,NA,1,"SRP_run3_20201113.xlsx",3.21815712011204,15,"HB","Outlet","8/5/2020","8:55","Surface",0,0,NA,"HB_Outlet_20200805_0855_Surface_0_Limno.Sample.20160505",140,NA
"F141",0.005,NA,1,"SRP_run3_20201113.xlsx",1.29589260315014,15,"CR","DeepHole","8/6/2020","9:22","PML",0,3.5,NA,"CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505",141,NA
"F142",0.016,NA,1,"SRP_run3_20201113.xlsx",3.05796841036521,15,"CR","DeepHole","8/6/2020","9:22","Hypo",8,8,NA,"CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505",142,NA
"F143",0.009,NA,1,"SRP_run3_20201113.xlsx",1.93664744213744,15,"CR","Outlet","8/6/2020","9:22","Surface",0,0,NA,"CR_Outlet_20200806_0922_Surface_0_Limno.Sample.20160505",143,NA
"F144",0.024,NA,1,"SRP_run3_20201113.xlsx",4.33947808833981,3,"FE","DeepHole","8/11/2020","10:45","PML",0,1,NA,"FE_DeepHole_20200811_1045_PML_1_Limno.Sample.20160505",144,NA
"F145",0.422,NA,1,"SRP_run3_20201113.xlsx",68.094584567576,3,"FE","DeepHole","8/11/2020","10:45","Hypo",8,8,NA,"FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505",145,NA
"F146",0.349,NA,1,"SRP_run3_20201113.xlsx",56.4008087560578,3,"FE","Inlet1","8/11/2020","10:45","Surface",0,0,NA,"FE_Inlet1_20200811_1045_Surface_0_Limno.Sample.20160505",146,NA
"F147",0.01,NA,1,"SRP_run3_20201113.xlsx",2.09683615188426,3,"WL","DeepHole","8/11/2020","9:48","PML",0,1.5,NA,"WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505",147,NA
"F148",0.234,NA,1,"SRP_run3_20201113.xlsx",37.979107135173,3,"WL","DeepHole","8/11/2020","9:48","Hypo",8,8,NA,"WL_DeepHole_20200811_0948_Hypo_8_Limno.Sample.20160505",148,NA
"F149",0.04,NA,1,"SRP_run3_20201113.xlsx",6.902497444289,17,"BO","DeepHole","8/12/2020","10:55","PML",0,0,NA,"BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505",149,NA
"F15",0.252,NA,1,"SRP_run1_20201110.xlsx",40.391320725435,3,"FE","DeepHole","6/9/2020","11:48","Hypo",8,8,NA,"FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505",15,NA
"F150",0.049,NA,1,"SRP_run3_20201113.xlsx",8.34419583201042,17,"BO","DeepHole","8/12/2020","10:55","Hypo",2,2,NA,"BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505",150,NA
"F151",0.008,NA,1,"SRP_run3_20201113.xlsx",1.77645873239061,17,"CB","DeepHole","8/12/2020","9:15","PML",0,0.5,NA,"CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505",151,NA
"F152",0.013,NA,1,"SRP_run3_20201113.xlsx",2.57740228112474,17,"CB","DeepHole","8/12/2020","9:15","Hypo",3,3,NA,"CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505",152,NA
"F153",0.011,NA,1,"SRP_run3_20201113.xlsx",2.25702486163109,17,"NG","DeepHole","8/14/2020","10:00","PML",0,0,NA,"NG_DeepHole_20200814_1000_PML_0_Limno.Sample.20160505",153,NA
"F154",0.026,NA,1,"SRP_run3_20201113.xlsx",4.65985550783346,17,"NG","DeepHole","8/14/2020","10:00","Hypo",3.5,3.5,NA,"NG_DeepHole_20200814_1000_Hypo_3.5_Limno.Sample.20160505",154,NA
"F155",0.011,NA,1,"SRP_run3_20201113.xlsx",2.25702486163109,17,"WA","DeepHole","8/14/2020","11:15","PML",0,0.5,NA,"WA_DeepHole_20200814_1115_PML_0.5_Limno.Sample.20160505",155,NA
"F156",0.019,NA,1,"SRP_run3_20201113.xlsx",3.53853453960568,17,"WA","DeepHole","8/14/2020","11:15","Hypo",4,4,NA,"WA_DeepHole_20200814_1115_Hypo_4_Limno.Sample.20160505",156,NA
"F157",0.009,NA,1,"SRP_run3_20201113.xlsx",1.93664744213744,15,"CR","DeepHole","8/17/2020","9:30","PML",0,3,NA,"CR_DeepHole_20200817_0930_PML_3_Limno.Sample.20160505",157,NA
"F158",0.01,NA,1,"SRP_run3_20201113.xlsx",2.09683615188426,15,"CR","DeepHole","8/17/2020","9:30","Hypo",8,8,NA,"CR_DeepHole_20200817_0930_Hypo_8_Limno.Sample.20160505",158,NA
"F159",0.008,NA,1,"SRP_run3_20201113.xlsx",1.77645873239061,15,"CR","Outlet","8/17/2020","9:30","Surface",0,0,NA,"CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505",159,NA
"F16",0.691,NA,1,"SRP_run1_20201110.xlsx",110.776180831172,3,"FE","Inlet1","6/9/2020","11:48","Surface",0,0,NA,"FE_Inlet1_20200609_1148_Surface_0_Limno.Sample.20160505",16,NA
