"sample","abs","dilution","runID","TN","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID"
"U112",0.00501366722973429,1,"TN_run1_20201028.csv",387.534413189539,15,"CR","Outlet","7/23/2020","10:30","Surface",0,0,"","CR_Outlet_20200723_1030_Surface_0_Limno.Sample.20160505"
"U113",0.00500005299912961,1,"TN_run1_20201028.csv",382.620217486095,17,"BA","DeepHole","7/27/2020","11:30","PML",0,2.5,"","BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505"
"U114",0.00489332118924366,1,"TN_run1_20201028.csv",344.094279679366,17,"BA","DeepHole","7/27/2020","11:30","Hypo",7,7,"","BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505"
"U115",0.00579090536787187,1,"TN_run1_20201028.csv",668.086464193854,17,"BR","DeepHole","7/27/2020","9:25","PML",0,2,"","BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505"
"U116",0.00573030061139949,1,"TN_run1_20201028.csv",646.210557834337,17,"BR","DeepHole","7/27/2020","9:25","Hypo",4,4,"","BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505"
"U117",0.0053444409135382,1,"TN_run1_20201028.csv",506.930555576228,3,"FE","DeepHole","2020-07-28","12:10","PML",0,1,"","FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505"
"U118",0.00578813920517379,1,"TN_run1_20201028.csv",667.087989491856,3,"FE","DeepHole","2020-07-28","12:10","Hypo",8,8,"","FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505"
"U119",0.00741786090957569,1,"TN_run1_20201028.csv",1255.35269795276,3,"FE","Inlet1","2020-07-28","12:10","Surface",0,0,"","FE_Inlet1_20200728_1210_Surface_0_Limno.Sample.20160505"
"U12",0.004577187,2,"TN_run2_202011102.csv",849.451461739562,35,"PR","DeepHole","6/7/2020","15:00","point",2.5,2.5,"","PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505"
"U120",0.00505450382267206,1,"TN_run1_20201028.csv",402.274798848138,3,"WL","DeepHole","2020-07-28","10:15","PML",0,1.5,"","WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505"
"U121",0.00592066992709407,1,"TN_run1_20201028.csv",714.926308317683,3,"WL","DeepHole","2020-07-28","10:15","Hypo",8,8,"","WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505"
"U122",0.00478655783670027,1,"TN_run1_20201028.csv",305.556956228001,17,"PA","DeepHole","2020-07-29","10:15","PML",0,2.5,"","PA_DeepHole_20200729_1015_PML_2.5_Limno.Sample.20160505"
"U123",0.0050365520081404,1,"TN_run1_20201028.csv",395.794907886824,17,"PA","DeepHole","2020-07-29","10:15","Hypo",7,7,"","PA_DeepHole_20200729_1015_Hypo_7_Limno.Sample.20160505"
"U124",0.00486191180290084,1,"TN_run1_20201028.csv",332.756740607518,17,"PE","DeepHole","2020-07-29","08:45","PML",0,2,"","PE_DeepHole_20200729_0845_PML_2_Limno.Sample.20160505"
"U125",0.00795392798411289,1,"TN_run1_20201028.csv",1448.85158826413,17,"PE","DeepHole","2020-07-29","08:45","Hypo",10,10,"","PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505"
"U126",0.00463381763259594,1,"TN_run1_20201028.csv",250.423818223516,17,"TU","DeepHole","2020-07-29","11:30","PML",0,1.5,"","TU_DeepHole_20200729_1130_PML_1.5_Limno.Sample.20160505"
"U127",0.00530498365891304,1,"TN_run1_20201028.csv",492.688056181366,17,"TU","DeepHole","2020-07-29","11:30","Hypo",6,6,"","TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505"
"U128",0.00553403655689805,1,"TN_run1_20201028.csv",575.36704112176,15,"MO","DeepHole","2020-08-03","08:50","PML",0,1,"","MO_DeepHole_20200803_0850_PML_1_Limno.Sample.20160505"
"U129",0.00590436635185982,1,"TN_run1_20201028.csv",709.041366179316,15,"MO","DeepHole","2020-08-03","08:50","Hypo",4,4,"","MO_DeepHole_20200803_0850_Hypo_4_Limno.Sample.20160505"
"U13",0.004609215,2,"TN_run2_202011102.csv",871.992660670884,35,"TF","DeepHole","6/7/2020","11:45","point",7,7,"","TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505"
"U130",0.0054269290078781,1,"TN_run1_20201028.csv",536.705476433753,15,"MO","Inlet1","2020-08-03","08:50","Surface",0,0,"","MO_Inlet1_20200803_0850_Surface_0_Limno.Sample.20160505"
"U131",0.00619020058171545,1,"TN_run1_20201028.csv",812.216153285608,15,"MO","Inlet2","2020-08-03","08:50","Surface",0,0,"","MO_Inlet2_20200803_0850_Surface_0_Limno.Sample.20160505"
"U132",0.00817520433855005,1,"TN_run1_20201028.csv",1528.72355031795,15,"MO","Inlet3","2020-08-03","08:50","Surface",0,0,"","MO_Inlet3_20200803_0850_Surface_0_Limno.Sample.20160505"
"U133",0.00520772246668372,1,"TN_run1_20201028.csv",457.580634627857,3,"FE","DeepHole","2020-08-04","10:45","PML",0,2,"","FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505"
"U134",0.00563050282378209,1,"TN_run1_20201028.csv",610.187526246046,3,"FE","DeepHole","2020-08-04","10:45","Hypo",8,8,"","FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505"
"U135",0.00775313931381685,1,"TN_run1_20201028.csv",1376.3748652292,3,"FE","Inlet1","2020-08-04","10:45","Surface",0,0,"","FE_Inlet1_20200804_1045_Surface_0_Limno.Sample.20160505"
"U136",0.00494717386420747,1,"TN_run1_20201028.csv",363.532953197586,3,"WL","DeepHole","2020-08-04","08:45","PML",0,2.5,"","WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505"
"U137",0.00563588730026219,1,"TN_run1_20201028.csv",612.131108072455,3,"WL","DeepHole","2020-08-04","08:45","Hypo",8,8,"","WL_DeepHole_20200804_0845_Hypo_8_Limno.Sample.20160505"
"U139",0.00610083467434015,1,"TN_run1_20201028.csv",779.95861550693,15,"HB","DeepHole","2020-08-05","08:55","Hypo",4,4,"","HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505"
"U14",0.004531261,2,"TN_run2_202011102.csv",817.128897042424,3,"FE","DeepHole","6/9/2020","11:48","PML",0,0.5,"","FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505"
"U140",0.00578621366211268,1,"TN_run1_20201028.csv",666.392945040762,15,"HB","Outlet","2020-08-05","08:55","Surface",0,0,"","HB_Outlet_20200805_0855_Surface_0_Limno.Sample.20160505"
"U141",0.00485041080167183,1,"TN_run1_20201028.csv",328.605336648966,15,"CR","DeepHole","2020-08-06","09:22","PML",0,3.5,"","CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505"
"U142",0.004904562,4,"TN_run3_202011112.csv",1634.6029692036,15,"CR","DeepHole","2020-08-06","09:22","Hypo",8,8,"","CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505"
"U143",0.00467062997244514,1,"TN_run1_20201028.csv",263.711608593284,15,"CR","Outlet","2020-08-06","09:22","Surface",0,0,"","CR_Outlet_20200806_0922_Surface_0_Limno.Sample.20160505"
"U144",0.00556826916619551,1,"TN_run1_20201028.csv",587.723651378489,3,"FE","DeepHole","2020-08-11","10:45","PML",0,1,"","FE_DeepHole_20200811_1045_PML_1_Limno.Sample.20160505"
"U145",0.00562331445082134,1,"TN_run1_20201028.csv",607.592809545248,3,"FE","DeepHole","2020-08-11","10:45","Hypo",8,8,"","FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505"
"U146",0.007618686,4,"TN_run3_202011112.csv",5358.40485198286,3,"FE","Inlet1","2020-08-11","10:45","Surface",0,0,"","FE_Inlet1_20200811_1045_Surface_0_Limno.Sample.20160505"
"U147",0.00462093291928507,1,"TN_run1_20201028.csv",245.772949244507,3,"WL","DeepHole","2020-08-11","09:48","PML",0,1.5,"","WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505"
"U149",0.00572581592055879,1,"TN_run1_20201028.csv",644.591762832211,17,"BO","DeepHole","2020-08-12","10:55","PML",0,0,"","BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505"
"U15",0.004928078,2,"TN_run2_202011102.csv",1096.4073701388,3,"FE","DeepHole","6/9/2020","11:48","Hypo",8,8,"","FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505"
"U150",0.006192197,4,"TN_run3_202011112.csv",3401.24945894853,17,"BO","DeepHole","2020-08-12","10:55","Hypo",2,2,"","BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505"
"U151",0.00482739,5,"TN_run3_202011112.csv",1910.9028872156,17,"CB","DeepHole","2020-08-12","09:15","PML",0,0.5,"","CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505"
"U152",0.00912270267661908,1,"TN_run1_20201028.csv",1870.73276091254,17,"CB","DeepHole","2020-08-12","09:15","Hypo",3,3,"","CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505"
"U153",0.005279117,4,"TN_run3_202011112.csv",2148.49570741467,17,"NG","DeepHole","2020-08-14","10:00","PML",0,0,"","NG_DeepHole_20200814_1000_PML_0_Limno.Sample.20160505"
"U154",0.00618115409611512,1,"TN_run1_20201028.csv",808.950731833651,17,"NG","DeepHole","2020-08-14","10:00","Hypo",3.5,3.5,"","NG_DeepHole_20200814_1000_Hypo_3.5_Limno.Sample.20160505"
"U155",0.0056815761294594,1,"TN_run1_20201028.csv",628.622958009178,17,"WA","DeepHole","2020-08-14","11:15","PML",0,0.5,"","WA_DeepHole_20200814_1115_PML_0.5_Limno.Sample.20160505"
"U156",0.00591291817402135,1,"TN_run1_20201028.csv",712.128233806515,17,"WA","DeepHole","2020-08-14","11:15","Hypo",4,4,"","WA_DeepHole_20200814_1115_Hypo_4_Limno.Sample.20160505"
"U157",0.00468504634821736,1,"TN_run1_20201028.csv",268.915346794599,15,"CR","DeepHole","2020-08-17","09:30","PML",0,3,"","CR_DeepHole_20200817_0930_PML_3_Limno.Sample.20160505"
"U158",0.00498615267892532,1,"TN_run1_20201028.csv",377.602754817221,15,"CR","DeepHole","2020-08-17","09:30","Hypo",8,8,"","CR_DeepHole_20200817_0930_Hypo_8_Limno.Sample.20160505"
"U159",0.004964892,4,"TN_run3_202011112.csv",1717.37625722879,15,"CR","Outlet","2020-08-17","09:30","Surface",0,0,"","CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505"
"U16",0.006499268,2,"TN_run2_202011102.csv",2202.20562007338,3,"FE","Inlet1","6/9/2020","11:48","Surface",0,0,"","FE_Inlet1_20200609_1148_Surface_0_Limno.Sample.20160505"
"U160",0.00571034727406453,1,"TN_run1_20201028.csv",639.008196757308,15,"HB","DeepHole","2020-08-18","09:50","PML",0,0.5,"","HB_DeepHole_20200818_0950_PML_0.5_Limno.Sample.20160505"
"U161",0.00626703,5,"TN_run3_202011112.csv",4379.90123738508,15,"HB","DeepHole","2020-08-18","09:50","Hypo",4,4,"","HB_DeepHole_20200818_0950_Hypo_4_Limno.Sample.20160505"
"U162",0.005669739,4,"TN_run3_202011112.csv",2684.43251024866,15,"HB","Outlet","2020-08-18","09:50","Surface",0,0,"","HB_Outlet_20200818_0950_Surface_0_Limno.Sample.20160505"
"U163",0.00549195402573456,1,"TN_run1_20201028.csv",560.176921324422,15,"MO","DeepHole","2020-08-19","10:15","PML",0,1.5,"","MO_DeepHole_20200819_1015_PML_1.5_Limno.Sample.20160505"
"U164",0.006452755,4,"TN_run3_202011112.csv",3758.73731542568,15,"MO","DeepHole","2020-08-19","10:15","Hypo",4.5,4.5,"","MO_DeepHole_20200819_1015_Hypo_4.5_Limno.Sample.20160505"
"U165",0.005240805,4,"TN_run3_202011112.csv",2095.93130809724,15,"MO","Inlet1","2020-08-19","10:15","Surface",0,0,"","MO_Inlet1_20200819_1015_Surface_0_Limno.Sample.20160505"
"U166",0.005613177,4,"TN_run3_202011112.csv",2606.82895120207,15,"MO","Inlet2","2020-08-19","10:15","Surface",0,0,"","MO_Inlet2_20200819_1015_Surface_0_Limno.Sample.20160505"
"U167",0.005129633,4,"TN_run3_202011112.csv",1943.40235108851,3,"FE","DeepHole","2020-08-20","11:32","PML",0,1.5,"","FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505"
"U168",0.005725275,4,"TN_run3_202011112.csv",2760.62838831541,3,"FE","DeepHole","2020-08-20","11:32","Hypo",8,8,"","FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505"
"U169",0.008551017,4,"TN_run3_202011112.csv",6637.5711440069,3,"FE","Inlet1","2020-08-20","11:32","Surface",0,0,"","FE_Inlet1_20200820_1132_Surface_0_Limno.Sample.20160505"
"U17",0.004547348,2,"TN_run2_202011102.csv",828.450873663136,3,"WL","DeepHole","6/9/2020","10:20","PML",0,1,"","WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505"
"U170",0.00512482874216791,1,"TN_run1_20201028.csv",427.659297411926,17,"ME","DeepHole","2020-08-20","10:54","PML",0,2,"","ME_DeepHole_20200820_1054_PML_2_Limno.Sample.20160505"
"U171",0.00508735068400794,1,"TN_run1_20201028.csv",414.131209212813,17,"ME","DeepHole","2020-08-20","10:54","Hypo",3.5,3.5,"","ME_DeepHole_20200820_1054_Hypo_3.5_Limno.Sample.20160505"
"U172",0.005294222,4,"TN_run3_202011112.csv",2169.21989961789,17,"ME","Outlet","2020-08-20","10:54","Surface",0,0,"","ME_Outlet_20200820_1054_Surface_0_Limno.Sample.20160505"
"U173",0.005021583,4,"TN_run3_202011112.csv",1795.15680540442,3,"WL","DeepHole","2020-08-20","09:10","PML",0,2,"","WL_DeepHole_20200820_0910_PML_2_Limno.Sample.20160505"
"U174",0.005921371,4,"TN_run3_202011112.csv",3029.67381660294,3,"WL","DeepHole","2020-08-20","09:10","Hypo",8,8,"","WL_DeepHole_20200820_0910_Hypo_8_Limno.Sample.20160505"
"U175",0.005261764,4,"TN_run3_202011112.csv",2124.68723953632,35,"NH","DeepHole","2020-08-24","10:50","PML",0,2,"","NH_DeepHole_20200824_1050_PML_2_Limno.Sample.20160505"
"U176",0.005893102,4,"TN_run3_202011112.csv",2990.88850118468,35,"NH","DeepHole","2020-08-24","10:50","Hypo",3,3,"","NH_DeepHole_20200824_1050_Hypo_3_Limno.Sample.20160505"
"U177",0.0050317999938094,1,"TN_run1_20201028.csv",394.079619738254,35,"SE","DeepHole","2020-08-24","11:55","PML",0,5,"","SE_DeepHole_20200824_1155_PML_5_Limno.Sample.20160505"
"U178",0.005323975,4,"TN_run3_202011112.csv",2210.04127602455,35,"SE","DeepHole","2020-08-24","11:55","Hypo",5.5,5.5,"","SE_DeepHole_20200824_1155_Hypo_5.5_Limno.Sample.20160505"
"U179",0.004965376,4,"TN_run3_202011112.csv",1718.04030946489,35,"BH","DeepHole","2020-08-25","09:50","PML",0,5,"","BH_DeepHole_20200825_0950_PML_5_Limno.Sample.20160505"
"U18",0.004903201,2,"TN_run2_202011102.csv",1078.89902101258,3,"WL","DeepHole","6/9/2020","10:20","Hypo",8,8,"","WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505"
"U180",0.005240718,4,"TN_run3_202011112.csv",2095.81194333579,35,"BH","DeepHole","2020-08-25","09:50","Hypo",10,10,"","BH_DeepHole_20200825_0950_Hypo_10_Limno.Sample.20160505"
"U181",0.004814036,4,"TN_run3_202011112.csv",1510.4005048945,35,"HH","DeepHole","2020-08-25","11:10","PML",0,4,"","HH_DeepHole_20200825_1110_PML_4_Limno.Sample.20160505"
"U182",0.005666428,4,"TN_run3_202011112.csv",2679.88978926986,35,"HH","DeepHole","2020-08-25","11:10","Hypo",5.5,5.5,"","HH_DeepHole_20200825_1110_Hypo_5.5_Limno.Sample.20160505"
"U183",0.0049801009408851,1,"TN_run1_20201028.csv",375.418318109839,35,"MI","DeepHole","2020-08-26","10:25","PML",0,0.5,"","MI_DeepHole_20200826_1025_PML_0.5_Limno.Sample.20160505"
"U184",0.0052081894925754,1,"TN_run1_20201028.csv",457.749212397467,35,"MI","DeepHole","2020-08-26","10:25","Hypo",9,9,"","MI_DeepHole_20200826_1025_Hypo_9_Limno.Sample.20160505"
"U185",0.00586013367049426,1,"TN_run1_20201028.csv",693.075127687385,35,"TR","DeepHole","2020-08-26","09:15","PML",0,0.5,"","TR_DeepHole_20200826_0915_PML_0.5_Limno.Sample.20160505"
"U186",0.006128807,4,"TN_run3_202011112.csv",3314.27782414136,35,"TR","DeepHole","2020-08-26","09:15","Hypo",5,5,"","TR_DeepHole_20200826_0915_Hypo_5_Limno.Sample.20160505"
"U187",0.004983222,4,"TN_run3_202011112.csv",1742.52517765812,35,"WL","DeepHole","2020-08-26","11:37","PML",0,1.5,"","WL_DeepHole_20200826_1137_PML_1.5_Limno.Sample.20160505"
"U188",0.005699234,4,"TN_run3_202011112.csv",2724.89990839723,35,"WL","DeepHole","2020-08-26","11:37","Hypo",8,8,"","WL_DeepHole_20200826_1137_Hypo_8_Limno.Sample.20160505"
"U189",0.004945474,4,"TN_run3_202011112.csv",1690.73459127697,35,"CYB","DeepHole","2020-08-27","10:15","PML",0,0.5,"","CYB_DeepHole_20200827_1015_PML_0.5_Limno.Sample.20160505"
"U19",0.0055346275568641,1,"TN_run1_20201028.csv",575.580368600795,15,"HB","DeepHole","6/10/2020","11:40","PML",0,0.5,"","HB_DeepHole_20200610_1140_PML_0.5_Limno.Sample.20160505"
"U190",0.005528743,4,"TN_run3_202011112.csv",2490.98476421188,35,"CYB","DeepHole","2020-08-27","10:15","Hypo",2,2,"","CYB_DeepHole_20200827_1015_Hypo_2_Limno.Sample.20160505"
"U191",0.005486268,4,"TN_run3_202011112.csv",2432.70869245869,35,"TB","DeepHole","2020-08-27","11:15","PML",0,0.5,"","TB_DeepHole_20200827_1115_PML_0.5_Limno.Sample.20160505"
"U192",0.005844236,4,"TN_run3_202011112.csv",2923.84392149565,35,"TB","DeepHole","2020-08-27","11:15","Hypo",3.5,3.5,"","TB_DeepHole_20200827_1115_Hypo_3.5_Limno.Sample.20160505"
"U193",0.005248808,4,"TN_run3_202011112.csv",2106.91149414175,41,"JO","DeepHole","2020-09-01","08:55","PML",0,3,"","JO_DeepHole_20200901_0855_PML_3_Limno.Sample.20160505"
"U194",0.005245822,4,"TN_run3_202011112.csv",2102.81467600743,41,"JO","DeepHole","2020-09-01","08:55","Hypo",4.5,4.5,"","JO_DeepHole_20200901_0855_Hypo_4.5_Limno.Sample.20160505"
"U2",0.004367022,5,"TN_run2_202011102.csv",1753.84509984961,3,"WL","DeepHole","6/4/2020","9:15","PML",0,1,"","WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505"
"U20",0.00589935534053648,1,"TN_run1_20201028.csv",707.232590418855,15,"HB","DeepHole","6/10/2020","11:40","Hypo",4,4,"","HB_DeepHole_20200610_1140_Hypo_4_Limno.Sample.20160505"
"U21",0.004813633,2,"TN_run2_202011102.csv",1015.86136315443,15,"HB","Outlet","6/10/2020","11:40","Surface",0,0,"","HB_Outlet_20200610_1140_Surface_0_Limno.Sample.20160505"
"U22",0.00497987973912929,1,"TN_run1_20201028.csv",375.338473074923,17,"ME","DeepHole","6/10/2020","9:36","PML",0,1,"","ME_DeepHole_20200610_0936_PML_1_Limno.Sample.20160505"
"U23",0.00488578497397556,1,"TN_run1_20201028.csv",341.374005742035,17,"ME","DeepHole","6/10/2020","9:36","Hypo",3.5,3.5,"","ME_DeepHole_20200610_0936_Hypo_3.5_Limno.Sample.20160505"
"U24",0.004392379,2,"TN_run2_202011102.csv",719.38421145544,17,"ME","Outlet","6/10/2020","9:36","Surface",0,0,"","ME_Outlet_20200610_0936_Surface_0_Limno.Sample.20160505"
"U25",0.00496581377918653,1,"TN_run1_20201028.csv",370.261221049254,15,"CR","DeepHole","6/11/2020","9:30","PML",0,2.5,"","CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505"
"U26",0.00484993463295231,1,"TN_run1_20201028.csv",328.433458682188,15,"CR","DeepHole","6/11/2020","9:30","Hypo",8,8,"","CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505"
"U27",0.00488260084707909,1,"TN_run1_20201028.csv",340.224662590136,15,"CR","Outlet","6/11/2020","9:30","Surface",0,0,"","CR_Outlet_20200611_0930_Surface_0_Limno.Sample.20160505"
"U28",0.00525571087711983,1,"TN_run1_20201028.csv",474.902541919422,15,"MO","DeepHole","6/12/2020","9:25","PML",0,1.5,"","MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505"
"U29",0.006056196,2,"TN_run2_202011102.csv",1890.37303318381,15,"MO","DeepHole","6/12/2020","9:25","Hypo",4.5,4.5,"","MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505"
"U3",0.004989685,5,"TN_run2_202011102.csv",2849.41542504741,3,"WL","DeepHole","6/4/2020","9:15","Hypo",8,8,"","WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505"
"U30",0.004659974,2,"TN_run2_202011102.csv",907.716674551083,15,"MO","Inlet1","6/12/2020","9:25","Surface",0,0,"","MO_Inlet1_20200612_0925_Surface_0_Limno.Sample.20160505"
"U31",0.005516708,2,"TN_run2_202011102.csv",1510.68318901429,15,"MO","Inlet2","6/12/2020","9:25","Surface",0,0,"","MO_Inlet2_20200612_0925_Surface_0_Limno.Sample.20160505"
"U32",0.006743255,2,"TN_run2_202011102.csv",2373.92285198472,15,"MO","Inlet3","6/12/2020","9:25","Surface",0,0,"","MO_Inlet3_20200612_0925_Surface_0_Limno.Sample.20160505"
"U33",0.00469203,1,"TN_run2_202011102.csv",465.138789894226,17,"BR","DeepHole","6/15/2020","11:42","PML",0,2,"","BR_DeepHole_20200615_1142_PML_2_Limno.Sample.20160505"
"U34",0.004512815,2,"TN_run2_202011102.csv",804.146664137242,17,"BR","DeepHole","6/15/2020","11:42","Hypo",3.5,3.5,"","BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505"
"U35",0.004366655,2,"TN_run2_202011102.csv",701.279746571296,17,"BA","DeepHole","6/15/2020","14:00","PML",0,2.5,"","BA_DeepHole_20200615_1400_PML_2.5_Limno.Sample.20160505"
"U36",0.004362923,2,"TN_run2_202011102.csv",698.653177493874,17,"BA","DeepHole","6/15/2020","14:00","Hypo",6.5,6.5,"","BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505"
"U37",0.004412319,2,"TN_run2_202011102.csv",733.417916547564,3,"FE","DeepHole","6/16/2020","10:35","PML",0,1.5,"","FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505"
"U38",0.004868653,2,"TN_run2_202011102.csv",1054.58425453702,3,"FE","DeepHole","6/16/2020","10:35","Hypo",8,8,"","FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505"
"U39",0.006376674,2,"TN_run2_202011102.csv",2115.92437423266,3,"FE","Inlet1","6/16/2020","10:35","Surface",0,0,"","FE_Inlet1_20200616_1035_Surface_0_Limno.Sample.20160505"
"U4",0.004505971,5,"TN_run2_202011102.csv",1998.32469975503,3,"FE","DeepHole","6/4/2020","10:45","PML",0,0.5,"","FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505"
"U40",0.004297146,2,"TN_run2_202011102.csv",652.359545605976,3,"WL","DeepHole","6/16/2020","8:56","PML",0,2,"","WL_DeepHole_20200616_0856_PML_2_Limno.Sample.20160505"
"U41",0.004720809,2,"TN_run2_202011102.csv",950.532143421665,3,"WL","DeepHole","6/16/2020","8:56","Hypo",8,8,"","WL_DeepHole_20200616_0856_Hypo_8_Limno.Sample.20160505"
"U42",0.004224773,2,"TN_run2_202011102.csv",601.423671050693,17,"PA","DeepHole","6/17/2020","9:20","PML",0,2,"","PA_DeepHole_20200617_0920_PML_2_Limno.Sample.20160505"
"U43",0.00415039,1,"TN_run2_202011102.csv",274.536582619942,17,"PA","DeepHole","6/17/2020","9:20","Hypo",5.5,5.5,"","PA_DeepHole_20200617_0920_Hypo_5.5_Limno.Sample.20160505"
"U44",0.004383386,2,"TN_run2_202011102.csv",713.054968231093,17,"PE","DeepHole","6/17/2020","10:38","PML",0,2,"","PE_DeepHole_20200617_1038_PML_2_Limno.Sample.20160505"
"U45",0.006439839,2,"TN_run2_202011102.csv",2160.37968928502,17,"PE","DeepHole","6/17/2020","10:38","Hypo",9,9,"","PE_DeepHole_20200617_1038_Hypo_9_Limno.Sample.20160505"
