"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","DOC","TN_DOC","replicate","metadataID","comments","flag","updateID"
15,"CR_PML_20200723_1030_Surface_0_Limno.Sample.20160505","CR","Outlet",2020-07-23,2020-07-23 10:30:00,"Surface",0,0,5.06045902844042,"NA",1,"NA",NA,"NA","NA"
17,"BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505","BA","DeepHole",2020-07-27,2020-07-27 11:30:00,"PML",0,2.5,6.37333421371282,"NA",2,"NA",NA,"NA","NA"
17,"BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505","BA","DeepHole",2020-07-27,2020-07-27 11:30:00,"Hypo",7,7,5.99347882556891,"NA",2,"NA",NA,"NA","NA"
17,"BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505","BR","DeepHole",2020-07-27,2020-07-27 09:25:00,"PML",0,2,11.396921721916,"NA",1,"NA",NA,"NA","NA"
35,"PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505","PR","DeepHole",2020-06-07,2020-06-07 15:00:00,"point",2.5,2.5,9.94872305461738,"NA",1,"NA",NA,"NA","NA"
17,"BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505","BR","DeepHole",2020-07-27,2020-07-27 09:25:00,"Hypo",4,4,9.4501628576785,"NA",2,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505","FE","DeepHole",2020-07-28,2020-07-28 12:10:00,"PML",0,1,15.5843882570518,"NA",2,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-07-28,2020-07-28 12:10:00,"Hypo",8,8,18.6389265157649,"NA",2,"NA",NA,"NA","NA"
3,"FE_PML_20200728_1210_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-07-28,2020-07-28 12:10:00,"Surface",0,0,75.2401851771039,"NA",1,"NA",NA,"NA","NA"
3,"FE_PML_20200728_1210_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-07-28,2020-07-28 12:10:00,"Surface",0,0,78.1955626339972,"NA",2,"NA",NA,"NA","NA"
