"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL","runID"
"D153",17,"NG","DeepHole","7/3/2020","9:20","PML",0,0.25,1,NA,"NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505",30.1542954943496,"6"
"D154",17,"NG","DeepHole","7/3/2020","9:20","PML",0,0.25,2,NA,"NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505",29.5231460249083,"4"
"D155",17,"NG","DeepHole","7/3/2020","9:20","Hypo",4,4,1,NA,"NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505",41.1051742190337,"4"
"D156",17,"NG","DeepHole","7/3/2020","9:20","Hypo",4,4,2,NA,"NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505",45.9630466724261,"6"
"D157",15,"MO","DeepHole","7/6/2020","9:01","PML",0,0.5,1,NA,"MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505",14.325438924635,"6"
"D158",15,"MO","DeepHole","7/6/2020","9:01","PML",0,0.5,2,NA,"MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505",16.3383547070032,"3"
"D159",15,"MO","DeepHole","7/6/2020","9:01","Hypo",3.5,3.5,1,NA,"MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505",13.6024570693266,"4"
"D16",35,"CB","DeepHole","6/6/2020","10:10","point",5.5,5.5,2,NA,"CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505",25.2928941141446,"3"
"D160",15,"MO","DeepHole","7/6/2020","9:01","Hypo",3.5,3.5,2,NA,"MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505",12.0393376283664,"6"
"D161",15,"MO","Inlet1","7/6/2020","9:01","Surface",0,0,1,NA,"MO_Inlet1_20200706_0901_Surface_0_Limno.Sample.20160505",24.2610504041757,"6"
"D162",15,"MO","Inlet1","7/6/2020","9:01","Surface",0,0,2,NA,"MO_Inlet1_20200706_0901_Surface_0_Limno.Sample.20160505",26.3774685918415,"4"
"D163",15,"MO","Inlet2","7/6/2020","9:01","Surface",0,0,1,NA,"MO_Inlet2_20200706_0901_Surface_0_Limno.Sample.20160505",11.916848784438,"4"
"D164",15,"MO","Inlet2","7/6/2020","9:01","Surface",0,0,2,NA,"MO_Inlet2_20200706_0901_Surface_0_Limno.Sample.20160505",9.59002785879983,"6"
"D165",3,"FE","DeepHole","7/7/2020","11:30","PML",0,0.25,1,NA,"FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505",12.1668975143512,"1"
"D166",3,"FE","DeepHole","7/7/2020","11:30","PML",0,0.25,2,NA,"FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505",11.0652963601648,"5"
"D167",3,"FE","DeepHole","7/7/2020","11:30","Hypo",8,8,1,NA,"FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505",17.2419033822647,"6"
"D168",3,"FE","DeepHole","7/7/2020","11:30","Hypo",8,8,2,NA,"FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505",18.6960804147189,"4"
"D169",3,"WL","DeepHole","7/7/2020","10:00","PML",0,1,1,NA,"WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505",6.89945338957533,"6"
"D17",35,"NG","DeepHole","6/6/2020","11:35","point",5.5,5.5,1,NA,"NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505",50.5065950755955,"4"
"D170",3,"WL","DeepHole","7/7/2020","10:00","PML",0,1,2,NA,"WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505",6.74250616906518,"4"
"D171",3,"WL","DeepHole","7/7/2020","10:00","Hypo",8,8,1,NA,"WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505",6.62152591693016,"6"
"D172",3,"WL","DeepHole","7/7/2020","10:00","Hypo",8,8,2,NA,"WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505",7.14966366323194,"4"
"D173",15,"HB","DeepHole","7/8/2020","9:45","PML",0,0.25,1,NA,"HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505",24.7013566916565,"4"
"D174",15,"HB","DeepHole","7/8/2020","9:45","PML",0,0.25,2,NA,"HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505",24.0446217765413,"6"
"D175",15,"HB","DeepHole","7/8/2020","9:45","Hypo",3.5,3.5,1,NA,"HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505",26.0486562714795,"4"
"D176",15,"HB","DeepHole","7/8/2020","9:45","Hypo",3.5,3.5,2,NA,"HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505",24.950547070355,"6"
"D177",15,"HB","Outlet","7/8/2020","9:45","Surface",0,0,1,NA,"HB_Outlet_20200708_0945_Surface_0_Limno.Sample.20160505",25.4472685108272,"6"
"D178",15,"HB","Outlet","7/8/2020","9:45","Surface",0,0,2,NA,"HB_Outlet_20200708_0945_Surface_0_Limno.Sample.20160505",26.4961734006365,"4"
"D179",15,"CR","DeepHole","7/10/2020","10:25","PML",0,2.5,1,NA,"CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505",5.01427725597363,"6"
"D18",35,"NG","DeepHole","6/6/2020","11:35","point",5.5,5.5,2,NA,"NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505",51.8162528636552,"5"
"D180",15,"CR","DeepHole","7/10/2020","10:25","PML",0,2.5,2,NA,"CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505",5.26819244383163,"4"
"D181",15,"CR","DeepHole","7/10/2020","10:25","Hypo",7.5,7.5,1,NA,"CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505",4.56841062964499,"6"
