"projectID","lakeID","siteID","sampleID","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","crew","weather","comments","metadataID","updateID"
"3","FE","FE_DeepHole","FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505",2020-07-15,2020-07-15 10:15:00,"PML",0,1.5,"RN and CS","sunny breezy","Deck PAR 1260.2","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505",2020-07-22,2020-07-22 11:45:00,"Hypo",8,8,"RN and CS","full cloud rainy","Deck PAR 762.3 and DO sensors and backup DO not calibrating","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505",2020-07-22,2020-07-22 11:45:00,"PML",0,2,"RN and CS","full cloud rainy","Deck PAR 762.3 and DO sensors and backup DO not calibrating","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505",2020-07-28,2020-07-28 12:10:00,"Hypo",8,8,"RN and CS","sunny and windy","Deck PAR 2183.0","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505",2020-07-28,2020-07-28 12:10:00,"PML",0,1,"RN and CS","sunny and windy","Deck PAR 2183.0","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505",2020-08-04,2020-08-04 10:45:00,"Hypo",8,8,"RN and CS","sunny","Deck PAR 1885.5","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505",2020-08-04,2020-08-04 10:45:00,"PML",0,2,"RN and CS","sunny","Deck PAR 1885.5","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505",2020-08-11,2020-08-11 10:45:00,"Hypo",8,8,"RN and CS","sunny windy","Deck PAR 1732.5","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200811_1045_PML_1_Limno.Sample.20160505",2020-08-11,2020-08-11 10:45:00,"PML",0,1,"RN and CS","sunny windy","Deck PAR 1732.5","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505",2020-08-20,2020-08-20 11:32:00,"Hypo",8,8,"RN and CO","overcast","Deck PAR 1345.0","Color.20110601","samplecolor.20210505"
