"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","abs440","g440","metadataID","comments","flag","updateID"
"16","TU_DeepHole_20130624_1230_meta_3.5_Limno.Sample.20130416","TU","DeepHole",2013-06-24,2013-06-24 12:30:00,"meta",3.5,3.5,0.2,4.72,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"16","DW_DeepHole_20130625_1215_PML_1_Limno.Sample.20130416","DW","DeepHole",2013-06-25,2013-06-25 12:15:00,"PML",0,1,0.2,4.67,"Color.20110601",NA,0,"originalDB.20160217"
"16","DW_DeepHole_20130625_1215_meta_4_Limno.Sample.20130416","DW","DeepHole",2013-06-25,2013-06-25 12:15:00,"meta",4,4,0.14,3.22,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"3","WL_DeepHole_20130626_0830_PML_1_Limno.Sample.20130416","WL","DeepHole",2013-06-26,2013-06-26 08:30:00,"PML",0,1,0.15,3.52,"Color.20110601",NA,0,"originalDB.20160217"
"3","WL_DeepHole_20130626_0830_hypo_8_Limno.Sample.20130416","WL","DeepHole",2013-06-26,2013-06-26 08:30:00,"hypo",8,8,0.17,3.93,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"3","EL_DeepHole_20130626_0930_PML_0.5_Limno.Sample.20130416","EL","DeepHole",2013-06-26,2013-06-26 09:30:00,"PML",0,0.5,0.33,7.71,"Color.20110601",NA,0,"originalDB.20160217"
"3","EL_DeepHole_20130626_0930_hypo_8_Limno.Sample.20130416","EL","DeepHole",2013-06-26,2013-06-26 09:30:00,"hypo",8,8,0.26,6.01,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"3","EL_Inlet1_20130626_0000_surface_0_Limno.Sample.20130416","EL","Inlet1",2013-06-26,2013-06-26 00:00:00,"surface",0,0,3.08,70.93,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"3","EL_Outlet_20130626_0000_surface_0_Limno.Sample.20130416","EL","Outlet",2013-06-26,2013-06-26 00:00:00,"surface",0,0,0.35,8.1,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"17","CB_DeepHole_20130626_1523_PML_0.5_Limno.Sample.20130416","CB","DeepHole",2013-06-26,2013-06-26 15:23:00,"PML",0,0.5,0.53,12.22,"Color.20110601",NA,0,"originalDB.20160217"
"19","HE_DeepHole_20130620_1430_PML_0.75_Limno.Sample.20130416","HE","DeepHole",2013-06-20,2013-06-20 14:30:00,"PML",0,0.75,1.01,23.28,"Color.20110601",NA,0,"originalDB.20160217"
"19","BH_DeepHole_20130625_0900_PML_3_Limno.Sample.20130416","BH","DeepHole",2013-06-25,2013-06-25 09:00:00,"PML",0,3,0.22,5.2,"Color.20110601",NA,0,"originalDB.20160217"
"19","MC_DeepHole_20130624_1200_PML_3_Limno.Sample.20130416","MC","DeepHole",2013-06-24,2013-06-24 12:00:00,"PML",0,3,0.21,4.99,"Color.20110601",NA,0,"originalDB.20160217"
"17","NG_DeepHole_20130627_0927_PML_1_Limno.Sample.20130416","NG","DeepHole",2013-06-27,2013-06-27 09:27:00,"PML",0,1,0.86,19.92,"Color.20110601",NA,0,"originalDB.20160217"
"16","RE_DeepHole_20130627_1400_PML_0.5_Limno.Sample.20130416","RE","DeepHole",2013-06-27,2013-06-27 14:00:00,"PML",0,0.5,0.65,15.03,"Color.20110601",NA,0,"originalDB.20160217"
"16","RE_DeepHole_20130627_1400_meta_2.5_Limno.Sample.20130416","RE","DeepHole",2013-06-27,2013-06-27 14:00:00,"meta",2.5,2.5,0.76,17.52,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"17","BR_DeepHole_20130628_1120_PML_2_Limno.Sample.20130416","BR","DeepHole",2013-06-28,2013-06-28 11:20:00,"PML",0,2,0.22,5.2,"Color.20110601",NA,0,"originalDB.20160217"
"17","BA_DeepHole_20130628_1215_PML_2_Limno.Sample.20130416","BA","DeepHole",2013-06-28,2013-06-28 12:15:00,"PML",0,2,0.08,2,"Color.20110601",NA,0,"originalDB.20160217"
"16","RS_DeepHole_20130628_1200_PML_1_Limno.Sample.20130416","RS","DeepHole",2013-06-28,2013-06-28 12:00:00,"PML",0,1,0.66,15.24,"Color.20110601",NA,0,"originalDB.20160217"
"16","RS_DeepHole_20130628_1200_meta_3.5_Limno.Sample.20130416","RS","DeepHole",2013-06-28,2013-06-28 12:00:00,"meta",3.5,3.5,0.62,14.37,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"17","TU_DeepHole_20130701_0855_PML_1.5_Limno.Sample.20130416","TU","DeepHole",2013-07-01,2013-07-01 08:55:00,"PML",0,1.5,0.23,5.36,"Color.20110601",NA,0,"originalDB.20160217"
"17","PA_DeepHole_20130701_0945_PML_2_Limno.Sample.20130416","PA","DeepHole",2013-07-01,2013-07-01 09:45:00,"PML",0,2,0.08,1.84,"Color.20110601",NA,0,"originalDB.20160217"
"17","PE_DeepHole_20130701_1045_PML_1.5_Limno.Sample.20130416","PE","DeepHole",2013-07-01,2013-07-01 10:45:00,"PML",0,1.5,0.11,2.69,"Color.20110601",NA,0,"originalDB.20160217"
"18","BO_DeepHole_20130702_0750_PML_0.5_Limno.Sample.20130416","BO","DeepHole",2013-07-02,2013-07-02 07:50:00,"PML",0,0.5,0.69,16.05,"Color.20110601",NA,0,"originalDB.20160217"
"18","BO_DeepHole_20130702_0750_hypo_3.5_Limno.Sample.20130416","BO","DeepHole",2013-07-02,2013-07-02 07:50:00,"hypo",3.5,3.5,0.99,22.79,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","MO_DeepHole_20130702_1215_PML_0.5_Limno.Sample.20130416","MO","DeepHole",2013-07-02,2013-07-02 12:15:00,"PML",0,0.5,0.52,12.11,"Color.20110601",NA,0,"originalDB.20160217"
"15","MO_DeepHole_20130702_1215_hypo_5_Limno.Sample.20130416","MO","DeepHole",2013-07-02,2013-07-02 12:15:00,"hypo",5,5,0.74,17.04,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","MO_Inlet1_20130702_0000_surface_0_Limno.Sample.20130416","MO","Inlet1",2013-07-02,2013-07-02 00:00:00,"surface",0,0,0.35,8.26,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","MO_Inlet2_20130702_0000_surface_0_Limno.Sample.20130416","MO","Inlet2",2013-07-02,2013-07-02 00:00:00,"surface",0,0,0.89,20.63,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","MO_Inlet3_20130702_0000_surface_0_Limno.Sample.20130416","MO","Inlet3",2013-07-02,2013-07-02 00:00:00,"surface",0,0,2.52,58.03,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","MO_Outlet_20130702_0000_surface_0_Limno.Sample.20130416","MO","Outlet",2013-07-02,2013-07-02 00:00:00,"surface",0,0,0.51,11.86,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"3","WL_DeepHole_20130703_0815_PML_1.5_Limno.Sample.20130416","WL","DeepHole",2013-07-03,2013-07-03 08:15:00,"PML",0,1.5,0.16,3.68,"Color.20110601",NA,0,"originalDB.20160217"
"3","WL_DeepHole_20130703_0815_hypo_8_Limno.Sample.20130416","WL","DeepHole",2013-07-03,2013-07-03 08:15:00,"hypo",8,8,0.19,4.39,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"3","EL_DeepHole_20130703_0925_PML_1_Limno.Sample.20130416","EL","DeepHole",2013-07-03,2013-07-03 09:25:00,"PML",0,1,0.34,7.99,"Color.20110601",NA,0,"originalDB.20160217"
"3","EL_DeepHole_20130703_0925_hypo_8_Limno.Sample.20130416","EL","DeepHole",2013-07-03,2013-07-03 09:25:00,"hypo",8,8,0.28,6.54,"Color.20110601",NA,0,"S_sampleIDReconstruct"
