bpID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,volFiltered,replicate,comments,sampleID
BP65,17,PA,DeepHole,6/17/2020,9:20,PML,0,2,250,1,,PA_DeepHole_20200617_0920_PML_2_Limno.Sample.20160505
BP66,17,PA,DeepHole,6/17/2020,9:20,PML,0,2,250,2,,PA_DeepHole_20200617_0920_PML_2_Limno.Sample.20160505
BP67,17,PA,DeepHole,6/17/2020,9:20,Hypo,5.5,5.5,150,1,,PA_DeepHole_20200617_0920_Hypo_5.5_Limno.Sample.20160505
BP68,17,PA,DeepHole,6/17/2020,9:20,Hypo,5.5,5.5,150,2,,PA_DeepHole_20200617_0920_Hypo_5.5_Limno.Sample.20160505
BP69,17,PE,DeepHole,6/17/2020,10:38,PML,0,2,250,1,,PE_DeepHole_20200617_1038_PML_2_Limno.Sample.20160505
BP70,17,PE,DeepHole,6/17/2020,10:38,PML,0,2,250,2,,PE_DeepHole_20200617_1038_PML_2_Limno.Sample.20160505
BP71,17,PE,DeepHole,6/17/2020,10:38,Hypo,9,9,250,1,,PE_DeepHole_20200617_1038_Hypo_9_Limno.Sample.20160505
BP72,17,PE,DeepHole,6/17/2020,10:38,Hypo,9,9,250,2,,PE_DeepHole_20200617_1038_Hypo_9_Limno.Sample.20160505
BP73,15,MO,DeepHole,6/22/2020,9:05,PML,0,3.5,250,1,,MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505
BP74,15,MO,DeepHole,6/22/2020,9:05,PML,0,3.5,250,2,,MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505
BP75,15,MO,DeepHole,6/22/2020,9:05,Hypo,7,7,250,1,,MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505
BP76,15,MO,DeepHole,6/22/2020,9:05,Hypo,7,7,250,2,,MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505
BP77,3,FE,DeepHole,6/23/2020,11:25,PML,0,1.5,250,1,,FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505
BP78,3,FE,DeepHole,6/23/2020,11:25,PML,0,1.5,250,2,,FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505
BP79,3,FE,DeepHole,6/23/2020,11:25,Hypo,8,8,150,1,,FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505
BP80,3,FE,DeepHole,6/23/2020,11:25,Hypo,8,8,150,2,,FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505
BP81,3,WL,DeepHole,6/23/2020,9:45,PML,0,1.5,250,1,,WL_DeepHole_20200623_0945_PML_1.5_Limno.Sample.20160505
BP82,3,WL,DeepHole,6/23/2020,9:45,PML,0,1.5,250,2,,WL_DeepHole_20200623_0945_PML_1.5_Limno.Sample.20160505
BP83,3,WL,DeepHole,6/23/2020,9:45,Hypo,8,8,150,1,,WL_DeepHole_20200623_0945_Hypo_8_Limno.Sample.20160505
BP84,3,WL,DeepHole,6/23/2020,9:45,Hypo,8,8,150,2,,WL_DeepHole_20200623_0945_Hypo_8_Limno.Sample.20160505
BP85,15,HB,DeepHole,6/24/2020,10:53,PML,0,0.5,150,1,,HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505
BP86,15,HB,DeepHole,6/24/2020,10:53,PML,0,0.5,150,2,,HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505
BP87,15,HB,DeepHole,6/24/2020,10:53,Hypo,4,4,150,1,,HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505
BP88,15,HB,DeepHole,6/24/2020,10:53,Hypo,4,4,150,2,,HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505
BP89,17,ME,DeepHole,6/24/2020,8:52,PML,0,1.5,250,1,,ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505
BP90,17,ME,DeepHole,6/24/2020,8:52,PML,0,1.5,250,2,,ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505
BP91,17,ME,DeepHole,6/24/2020,8:52,Hypo,3,3,250,1,,ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505
BP92,17,ME,DeepHole,6/24/2020,8:52,Hypo,3,3,250,2,,ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505
BP93,15,CR,DeepHole,6/25/2020,10:06,PML,0,2.5,150,1,,CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505
BP94,15,CR,DeepHole,6/25/2020,10:06,PML,0,2.5,150,2,,CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505
BP95,15,CR,DeepHole,6/25/2020,10:06,Hypo,11,11,150,1,,CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505
BP96,15,CR,DeepHole,6/25/2020,10:06,Hypo,11,11,150,2,,CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505
BP97,17,TU,DeepHole,6/25/2020,12:31,PML,0,1.5,250,1,,TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505
BP98,17,TU,DeepHole,6/25/2020,12:31,PML,0,1.5,250,2,,TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505
BP99,17,TU,DeepHole,6/25/2020,12:31,Hypo,7,7,150,1,,TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505
BP100,17,TU,DeepHole,6/25/2020,12:31,Hypo,7,7,150,2,,TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505
BP101,17,WA,DeepHole,6/29/2020,8:54,PML,0,1,250,1,,WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505
BP102,17,WA,DeepHole,6/29/2020,8:54,PML,0,1,250,2,,WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505
BP103,17,WA,DeepHole,6/29/2020,8:54,Hypo,3.5,3.5,150,1,,WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505
BP104,17,WA,DeepHole,6/29/2020,8:54,Hypo,3.5,3.5,150,2,,WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505
BP105,3,FE,DeepHole,6/30/2020,11:30,PML,0,1,250,1,,FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505
BP106,3,FE,DeepHole,6/30/2020,11:30,PML,0,1,250,2,,FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505
BP107,3,FE,DeepHole,6/30/2020,11:30,Hypo,8,8,200,1,,FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505
BP108,3,FE,DeepHole,6/30/2020,11:30,Hypo,8,8,200,2,,FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505
BP109,3,WL,DeepHole,6/30/2020,9:58,PML,0,1,250,1,,WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505
BP110,3,WL,DeepHole,6/30/2020,9:58,PML,0,1,250,2,,WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505
BP111,3,WL,DeepHole,6/30/2020,9:58,Hypo,8,8,250,1,,WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505
BP112,3,WL,DeepHole,6/30/2020,9:58,Hypo,8,8,250,2,,WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505
BP113,17,BO,DeepHole,7/1/2020,10:41,PML,0,0.25,150,1,,BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505
BP114,17,BO,DeepHole,7/1/2020,10:41,PML,0,0.25,150,2,,BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505
BP115,17,BO,DeepHole,7/1/2020,10:41,Hypo,2,2,150,1,,BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505
BP116,17,BO,DeepHole,7/1/2020,10:41,Hypo,2,2,150,2,,BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505
BP117,17,CB,DeepHole,7/1/2020,9:09,PML,0,0.5,150,1,,CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505
BP118,17,CB,DeepHole,7/1/2020,9:09,PML,0,0.5,150,2,,CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505
BP119,17,CB,DeepHole,7/1/2020,9:09,Hypo,3,3,250,1,,CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505
BP120,17,CB,DeepHole,7/1/2020,9:09,Hypo,3,3,250,2,,CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505
BP121,17,NG,DeepHole,7/3/2020,9:20,PML,0,0.25,150,1,,NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505
BP122,17,NG,DeepHole,7/3/2020,9:20,PML,0,0.25,150,2,,NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505
BP123,17,NG,DeepHole,7/3/2020,9:20,Hypo,4,4,250,1,,NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505
BP124,17,NG,DeepHole,7/3/2020,9:20,Hypo,4,4,250,2,,NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505
BP125,15,MO,DeepHole,7/6/2020,9:01,PML,0,0.5,250,1,,MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505
BP126,15,MO,DeepHole,7/6/2020,9:01,PML,0,0.5,250,2,,MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505
BP127,15,MO,DeepHole,7/6/2020,9:01,Hypo,3.5,3.5,150,1,,MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505
BP128,15,MO,DeepHole,7/6/2020,9:01,Hypo,3.5,3.5,150,2,,MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505
