"colorID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","abs440","g440","comments","sampleID"
"C62",3,"FE","DeepHole","6/30/2020","11:30","Hypo",8,8,"0.541",NA,"","FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505"
"C63",3,"WL","DeepHole","6/30/2020","9:58","PML",0,1,"0.118",NA,"","WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505"
"C64",3,"WL","DeepHole","6/30/2020","9:58","Hypo",8,8,"0.254",NA,"","WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505"
"C65",17,"BO","DeepHole","7/1/2020","10:41","PML",0,0.25,"0.402",NA,"","BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505"
"C66",17,"BO","DeepHole","7/1/2020","10:41","Hypo",2,2,"0.588",NA,"","BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505"
"C67",17,"CB","DeepHole","7/1/2020","9:09","PML",0,0.5,"0.446",NA,"","CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505"
"C68",17,"CB","DeepHole","7/1/2020","9:09","Hypo",3,3,"0.545",NA,"","CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505"
"C69",17,"NG","DeepHole","7/3/2020","9:20","PML",0,0.25,"0.889",NA,"","NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505"
"C70",17,"NG","DeepHole","7/3/2020","9:20","Hypo",4,4,"1.213",NA,"","NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505"
"C71",15,"MO","DeepHole","7/6/2020","9:01","PML",0,0.5,"0.359",NA,"","MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505"
"C72",15,"MO","DeepHole","7/6/2020","9:01","Hypo",3.5,3.5,"0.451",NA,"","MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505"
"C73",15,"MO","Inlet1","7/6/2020","9:01","Surface",0,0,"0.874",NA,"","MO_PML_20200706_0901_Surface_0_Limno.Sample.20160505"
"C74",15,"MO","Inlet2","7/6/2020","9:01","Surface",0,0,"0.232",NA,"","MO_PML_20200706_0901_Surface_0_Limno.Sample.20160505"
"C75",3,"FE","DeepHole","7/7/2020","11:30","PML",0,0.25,"0.347",NA,"","FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505"
"C76",3,"FE","DeepHole","7/7/2020","11:30","Hypo",8,8,"0.712",NA,"","FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505"
"C77",3,"WL","DeepHole","7/7/2020","10:00","PML",0,1,"0.128",NA,"","WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505"
"C78",3,"WL","DeepHole","7/7/2020","10:00","Hypo",8,8,"0.261",NA,"","WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505"
"C79",15,"HB","DeepHole","7/8/2020","9:45","PML",0,0.25,"0.822",NA,"","HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505"
"C80",15,"HB","DeepHole","7/8/2020","9:45","Hypo",3.5,3.5,"0.817",NA,"","HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505"
"C81",15,"HB","Outlet","7/8/2020","9:45","Surface",0,0,"0.884",NA,"","HB_PML_20200708_0945_Surface_0_Limno.Sample.20160505"
"C82",15,"CR","DeepHole","7/10/2020","10:25","PML",0,2.5,"0.061",NA,"","CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505"
"C83",15,"CR","DeepHole","7/10/2020","10:25","Hypo",7.5,7.5,"0.095",NA,"","CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505"
"C84",15,"CR","Outlet","7/10/2020","10:25","Surface",0,0,"0.068",NA,"","CR_PML_20200710_1025_Surface_0_Limno.Sample.20160505"
"C85",3,"FE","DeepHole","7/15/2020","10:15","PML",0,1.5,"0.358",NA,"","FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505"
"C86",3,"FE","DeepHole","7/15/2020","10:15","Hypo",8,8,"0.63",NA,"","FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505"
"C87",3,"FE","Inlet1","7/15/2020","10:15","Surface",0,0,"1.936",NA,"","FE_PML_20200715_1015_Surface_0_Limno.Sample.20160505"
"C88",3,"WL","DeepHole","7/15/2020","9:07","PML",0,2,"0.141",NA,"","WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505"
"C89",3,"WL","DeepHole","7/15/2020","9:07","Hypo",8,8,"0.25",NA,"","WL_DeepHole_20200715_0907_Hypo_8_Limno.Sample.20160505"
"C90",41,"JO","DeepHole","7/16/2020","11:20","PML",0,2,"0.197",NA,"","JO_DeepHole_20200716_1120_PML_2_Limno.Sample.20160505"
"C91",41,"JO","DeepHole","7/16/2020","11:20","Hypo",4.5,4.5,"0.391",NA,"","JO_DeepHole_20200716_1120_Hypo_4.5_Limno.Sample.20160505"
"C92",15,"MO","DeepHole","7/20/2020","9:00","PML",0,1,"0.442",NA,"","MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505"
"C93",15,"MO","DeepHole","7/20/2020","9:00","Hypo",4,4,"0.461",NA,"","MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505"
"C94",15,"MO","Inlet1","7/20/2020","9:00","Surface",0,0,"0.232",NA,"","MO_PML_20200720_0900_Surface_0_Limno.Sample.20160505"
"C95",15,"MO","Inlet2","7/20/2020","9:00","Surface",0,0,"1.265",NA,"","MO_PML_20200720_0900_Surface_0_Limno.Sample.20160505"
"C96",15,"MO","Inlet3","7/20/2020","9:00","Surface",0,0,"2.341",NA,"","MO_PML_20200720_0900_Surface_0_Limno.Sample.20160505"
"C97",3,"WL","DeepHole","7/21/2020","9:57","PML",0,2,"0.138",NA,"","WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505"
"C98",3,"WL","DeepHole","7/21/2020","9:57","Hypo",8,8,"0.185",NA,"","WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505"
"C99",3,"FE","DeepHole","7/22/2020","11:45","PML",0,2,"0.384",NA,"","FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505"
"C100",3,"FE","DeepHole","7/22/2020","11:45","Hypo",8,8,"0.696",NA,"","FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505"
"C101",3,"FE","Inlet1","7/22/2020","11:45","Surface",0,0,"2.323",NA,"","FE_PML_20200722_1145_Surface_0_Limno.Sample.20160505"
"C102",15,"CR","DeepHole","7/23/2020","10:30","PML",0,3.5,"0.051",NA,"","CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505"
"C103",15,"CR","DeepHole","7/23/2020","10:30","Hypo",8,8,"0.089",NA,"","CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505"
"C104",15,"CR","Outlet","7/23/2020","10:30","Surface",0,0,"0.057",NA,"","CR_PML_20200723_1030_Surface_0_Limno.Sample.20160505"
"C105",17,"BA","DeepHole","7/27/2020","11:30","PML",0,2.5,"0.071",NA,"","BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505"
"C106",17,"BA","DeepHole","7/27/2020","11:30","Hypo",7,7,"0.087",NA,"","BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505"
"C107",17,"BR","DeepHole","7/27/2020","9:25","PML",0,2,"0.123",NA,"","BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505"
"C108",17,"BR","DeepHole","7/27/2020","9:25","Hypo",4,4,"0.228",NA,"","BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505"
