docID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,replicate,comments,sampleID
D77,3,FE,Inlet1,6/16/2020,10:35,Surface,0,0,1,,FE_PML_20200616_1035_Surface_0_Limno.Sample.20160505
D78,3,FE,Inlet1,6/16/2020,10:35,Surface,0,0,2,,FE_PML_20200616_1035_Surface_0_Limno.Sample.20160505
D79,3,WL,DeepHole,6/16/2020,8:56,PML,0,2,1,,WL_DeepHole_20200616_0856_PML_2_Limno.Sample.20160505
D80,3,WL,DeepHole,6/16/2020,8:56,PML,0,2,2,,WL_DeepHole_20200616_0856_PML_2_Limno.Sample.20160505
D81,3,WL,DeepHole,6/16/2020,8:56,Hypo,8,8,1,,WL_DeepHole_20200616_0856_Hypo_8_Limno.Sample.20160505
D82,3,WL,DeepHole,6/16/2020,8:56,Hypo,8,8,2,,WL_DeepHole_20200616_0856_Hypo_8_Limno.Sample.20160505
D83,17,PA,DeepHole,6/17/2020,9:20,PML,0,2,1,,PA_DeepHole_20200617_0920_PML_2_Limno.Sample.20160505
D84,17,PA,DeepHole,6/17/2020,9:20,PML,0,2,2,,PA_DeepHole_20200617_0920_PML_2_Limno.Sample.20160505
D85,17,PA,DeepHole,6/17/2020,9:20,Hypo,5.5,5.5,1,,PA_DeepHole_20200617_0920_Hypo_5.5_Limno.Sample.20160505
D86,17,PA,DeepHole,6/17/2020,9:20,Hypo,5.5,5.5,2,,PA_DeepHole_20200617_0920_Hypo_5.5_Limno.Sample.20160505
D87,17,PE,DeepHole,6/17/2020,10:38,PML,0,2,1,,PE_DeepHole_20200617_1038_PML_2_Limno.Sample.20160505
D88,17,PE,DeepHole,6/17/2020,10:38,PML,0,2,2,,PE_DeepHole_20200617_1038_PML_2_Limno.Sample.20160505
D89,17,PE,DeepHole,6/17/2020,10:38,Hypo,9,9,1,,PE_DeepHole_20200617_1038_Hypo_9_Limno.Sample.20160505
D90,17,PE,DeepHole,6/17/2020,10:38,Hypo,9,9,2,,PE_DeepHole_20200617_1038_Hypo_9_Limno.Sample.20160505
D91,15,MO,DeepHole,6/22/2020,9:05,PML,0,3.5,1,,MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505
D92,15,MO,DeepHole,6/22/2020,9:05,PML,0,3.5,2,,MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505
D93,15,MO,DeepHole,6/22/2020,9:05,Hypo,7,7,1,,MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505
D94,15,MO,DeepHole,6/22/2020,9:05,Hypo,7,7,2,,MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505
D95,15,MO,Inlet1,6/22/2020,9:05,Surface,0,0,1,,MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505
D96,15,MO,Inlet1,6/22/2020,9:05,Surface,0,0,2,,MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505
D97,15,MO,Inlet2,6/22/2020,9:05,Surface,0,0,1,,MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505
D98,15,MO,Inlet2,6/22/2020,9:05,Surface,0,0,2,,MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505
D99,15,MO,Inlet3,6/22/2020,9:05,Surface,0,0,1,,MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505
D100,15,MO,Inlet3,6/22/2020,9:05,Surface,0,0,2,,MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505
D101,3,FE,DeepHole,6/23/2020,11:25,PML,0,1.5,1,,FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505
D102,3,FE,DeepHole,6/23/2020,11:25,PML,0,1.5,2,,FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505
D103,3,FE,DeepHole,6/23/2020,11:25,Hypo,8,8,1,,FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505
D104,3,FE,DeepHole,6/23/2020,11:25,Hypo,8,8,2,,FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505
D105,3,FE,Inlet1,6/23/2020,11:25,Surface,0,0,1,,FE_PML_20200623_1125_Surface_0_Limno.Sample.20160505
D106,3,FE,Inlet1,6/23/2020,11:25,Surface,0,0,2,,FE_PML_20200623_1125_Surface_0_Limno.Sample.20160505
D107,3,WL,DeepHole,6/23/2020,9:45,PML,0,1.5,1,,WL_DeepHole_20200623_0945_PML_1.5_Limno.Sample.20160505
D108,3,WL,DeepHole,6/23/2020,9:45,PML,0,1.5,2,,WL_DeepHole_20200623_0945_PML_1.5_Limno.Sample.20160505
D109,3,WL,DeepHole,6/23/2020,9:45,Hypo,8,8,1,,WL_DeepHole_20200623_0945_Hypo_8_Limno.Sample.20160505
D110,3,WL,DeepHole,6/23/2020,9:45,Hypo,8,8,2,,WL_DeepHole_20200623_0945_Hypo_8_Limno.Sample.20160505
