chlID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,volFiltered,replicate,comments,sampleID
C52,17,BR,DeepHole,6/15/2020,11:42,Hypo,3.5,3.5,450,2,,BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505
C53,17,BA,DeepHole,6/15/2020,14:00,PML,0,2.5,450,1,,BA_DeepHole_20200615_1400_PML_2.5_Limno.Sample.20160505
C54,17,BA,DeepHole,6/15/2020,14:00,PML,0,2.5,450,2,,BA_DeepHole_20200615_1400_PML_2.5_Limno.Sample.20160505
C55,17,BA,DeepHole,6/15/2020,14:00,Hypo,6.5,6.5,450,1,,BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505
C56,17,BA,DeepHole,6/15/2020,14:00,Hypo,6.5,6.5,450,2,,BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505
C57,3,FE,DeepHole,6/16/2020,10:35,PML,0,1.5,450,1,,FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505
C58,3,FE,DeepHole,6/16/2020,10:35,PML,0,1.5,450,2,,FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505
C59,3,FE,DeepHole,6/16/2020,10:35,Hypo,8,8,450,1,,FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505
C60,3,FE,DeepHole,6/16/2020,10:35,Hypo,8,8,450,2,,FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505
C61,3,WL,DeepHole,6/16/2020,8:56,PML,0,2,450,1,,WL_DeepHole_20200616_0856_PML_2_Limno.Sample.20160505
C62,3,WL,DeepHole,6/16/2020,8:56,PML,0,2,450,2,,WL_DeepHole_20200616_0856_PML_2_Limno.Sample.20160505
C63,3,WL,DeepHole,6/16/2020,8:56,Hypo,8,8,450,1,,WL_DeepHole_20200616_0856_Hypo_8_Limno.Sample.20160505
C64,3,WL,DeepHole,6/16/2020,8:56,Hypo,8,8,450,2,,WL_DeepHole_20200616_0856_Hypo_8_Limno.Sample.20160505
C65,17,PA,DeepHole,6/17/2020,9:20,PML,0,2,450,1,,PA_DeepHole_20200617_0920_PML_2_Limno.Sample.20160505
C66,17,PA,DeepHole,6/17/2020,9:20,PML,0,2,450,2,,PA_DeepHole_20200617_0920_PML_2_Limno.Sample.20160505
C67,17,PA,DeepHole,6/17/2020,9:20,Hypo,5.5,5.5,450,1,,PA_DeepHole_20200617_0920_Hypo_5.5_Limno.Sample.20160505
C68,17,PA,DeepHole,6/17/2020,9:20,Hypo,5.5,5.5,450,2,,PA_DeepHole_20200617_0920_Hypo_5.5_Limno.Sample.20160505
C69,17,PE,DeepHole,6/17/2020,10:38,PML,0,2,450,1,,PE_DeepHole_20200617_1038_PML_2_Limno.Sample.20160505
C70,17,PE,DeepHole,6/17/2020,10:38,PML,0,2,450,2,,PE_DeepHole_20200617_1038_PML_2_Limno.Sample.20160505
C71,17,PE,DeepHole,6/17/2020,10:38,Hypo,9,9,450,1,,PE_DeepHole_20200617_1038_Hypo_9_Limno.Sample.20160505
C72,17,PE,DeepHole,6/17/2020,10:38,Hypo,9,9,450,2,,PE_DeepHole_20200617_1038_Hypo_9_Limno.Sample.20160505
C73,15,MO,DeepHole,6/22/2020,9:05,PML,0,3.5,450,1,,MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505
C74,15,MO,DeepHole,6/22/2020,9:05,PML,0,3.5,450,2,,MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505
C75,15,MO,DeepHole,6/22/2020,9:05,Hypo,7,7,450,1,,MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505
C76,15,MO,DeepHole,6/22/2020,9:05,Hypo,7,7,450,2,,MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505
C77,3,FE,DeepHole,6/23/2020,11:25,PML,0,1.5,450,1,,FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505
C78,3,FE,DeepHole,6/23/2020,11:25,PML,0,1.5,450,2,,FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505
C79,3,FE,DeepHole,6/23/2020,11:25,Hypo,8,8,450,1,,FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505
C80,3,FE,DeepHole,6/23/2020,11:25,Hypo,8,8,450,2,,FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505
C81,3,WL,DeepHole,6/23/2020,9:45,PML,0,1.5,450,1,,WL_DeepHole_20200623_0945_PML_1.5_Limno.Sample.20160505
C82,3,WL,DeepHole,6/23/2020,9:45,PML,0,1.5,450,2,,WL_DeepHole_20200623_0945_PML_1.5_Limno.Sample.20160505
C83,3,WL,DeepHole,6/23/2020,9:45,Hypo,8,8,450,1,,WL_DeepHole_20200623_0945_Hypo_8_Limno.Sample.20160505
C84,3,WL,DeepHole,6/23/2020,9:45,Hypo,8,8,450,2,,WL_DeepHole_20200623_0945_Hypo_8_Limno.Sample.20160505
C85,15,HB,DeepHole,6/24/2020,10:53,PML,0,0.5,450,1,,HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505
C86,15,HB,DeepHole,6/24/2020,10:53,PML,0,0.5,450,2,,HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505
C87,15,HB,DeepHole,6/24/2020,10:53,Hypo,4,4,450,1,,HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505
C88,15,HB,DeepHole,6/24/2020,10:53,Hypo,4,4,450,2,,HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505
C89,17,ME,DeepHole,6/24/2020,8:52,PML,0,1.5,450,1,,ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505
C90,17,ME,DeepHole,6/24/2020,8:52,PML,0,1.5,450,2,,ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505
C91,17,ME,DeepHole,6/24/2020,8:52,Hypo,3,3,450,1,,ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505
C92,17,ME,DeepHole,6/24/2020,8:52,Hypo,3,3,450,2,,ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505
C93,15,CR,DeepHole,6/25/2020,10:06,PML,0,2.5,450,1,,CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505
C94,15,CR,DeepHole,6/25/2020,10:06,PML,0,2.5,450,2,,CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505
C95,15,CR,DeepHole,6/25/2020,10:06,Hypo,11,11,450,1,,CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505
C96,15,CR,DeepHole,6/25/2020,10:06,Hypo,11,11,450,2,,CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505
C97,17,TU,DeepHole,6/25/2020,12:31,PML,0,1.5,450,1,,TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505
C98,17,TU,DeepHole,6/25/2020,12:31,PML,0,1.5,450,2,,TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505
C99,17,TU,DeepHole,6/25/2020,12:31,Hypo,7,7,450,1,,TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505
C100,17,TU,DeepHole,6/25/2020,12:31,Hypo,7,7,450,2,,TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505
C101,17,WA,DeepHole,6/29/2020,8:54,PML,0,1,450,1,,WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505
C102,17,WA,DeepHole,6/29/2020,8:54,PML,0,1,450,2,,WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505
C103,17,WA,DeepHole,6/29/2020,8:54,Hypo,3.5,3.5,450,1,,WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505
C104,17,WA,DeepHole,6/29/2020,8:54,Hypo,3.5,3.5,450,2,,WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505
C105,3,FE,DeepHole,6/30/2020,11:30,PML,0,1,450,1,,FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505
C106,3,FE,DeepHole,6/30/2020,11:30,PML,0,1,450,2,,FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505
C107,3,FE,DeepHole,6/30/2020,11:30,Hypo,8,8,450,1,,FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505
C108,3,FE,DeepHole,6/30/2020,11:30,Hypo,8,8,450,2,,FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505
C109,3,WL,DeepHole,6/30/2020,9:58,PML,0,1,450,1,,WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505
C110,3,WL,DeepHole,6/30/2020,9:58,PML,0,1,450,2,,WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505
C111,3,WL,DeepHole,6/30/2020,9:58,Hypo,8,8,450,1,,WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505
C112,3,WL,DeepHole,6/30/2020,9:58,Hypo,8,8,450,2,,WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505
C113,17,BO,DeepHole,7/1/2020,10:41,PML,0,0.25,450,1,,BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505
C114,17,BO,DeepHole,7/1/2020,10:41,PML,0,0.25,450,2,,BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505
C115,17,BO,DeepHole,7/1/2020,10:41,Hypo,2,2,250,1,,BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505
C116,17,BO,DeepHole,7/1/2020,10:41,Hypo,2,2,250,2,,BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505
C117,17,CB,DeepHole,7/1/2020,9:09,PML,0,0.5,450,1,,CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505
C118,17,CB,DeepHole,7/1/2020,9:09,PML,0,0.5,450,2,,CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505
C119,17,CB,DeepHole,7/1/2020,9:09,Hypo,3,3,450,1,,CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505
C120,17,CB,DeepHole,7/1/2020,9:09,Hypo,3,3,450,2,,CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505
C121,17,NG,DeepHole,7/3/2020,9:20,PML,0,0.25,450,1,,NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505
C122,17,NG,DeepHole,7/3/2020,9:20,PML,0,0.25,450,2,,NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505
C123,17,NG,DeepHole,7/3/2020,9:20,Hypo,4,4,450,1,,NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505
C124,17,NG,DeepHole,7/3/2020,9:20,Hypo,4,4,450,2,,NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505
C125,15,MO,DeepHole,7/6/2020,9:01,PML,0,0.5,450,1,,MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505
C126,15,MO,DeepHole,7/6/2020,9:01,PML,0,0.5,450,2,,MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505
C127,15,MO,DeepHole,7/6/2020,9:01,Hypo,3.5,3.5,450,1,,MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505
C128,15,MO,DeepHole,7/6/2020,9:01,Hypo,3.5,3.5,450,2,,MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505
C129,3,FE,DeepHole,7/7/2020,11:30,PML,0,0.25,450,1,,FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505
C130,3,FE,DeepHole,7/7/2020,11:30,PML,0,0.25,450,2,,FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505
C131,3,FE,DeepHole,7/7/2020,11:30,Hypo,8,8,450,1,,FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505
C132,3,FE,DeepHole,7/7/2020,11:30,Hypo,8,8,450,2,,FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505
C133,3,WL,DeepHole,7/7/2020,10:00,PML,0,1,450,1,,WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505
C134,3,WL,DeepHole,7/7/2020,10:00,PML,0,1,450,2,,WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505
C135,3,WL,DeepHole,7/7/2020,10:00,Hypo,8,8,450,1,,WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505
C136,3,WL,DeepHole,7/7/2020,10:00,Hypo,8,8,450,2,,WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505
C137,15,HB,DeepHole,7/8/2020,9:45,PML,0,0.25,450,1,,HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505
C138,15,HB,DeepHole,7/8/2020,9:45,PML,0,0.25,450,2,,HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505
C139,15,HB,DeepHole,7/8/2020,9:45,Hypo,3.5,3.5,450,1,,HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505
C140,15,HB,DeepHole,7/8/2020,9:45,Hypo,3.5,3.5,450,2,,HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505
C141,15,CR,DeepHole,7/10/2020,10:25,PML,0,2.5,450,1,,CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505
C142,15,CR,DeepHole,7/10/2020,10:25,PML,0,2.5,450,2,,CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505
C143,15,CR,DeepHole,7/10/2020,10:25,Hypo,7.5,7.5,450,1,,CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505
C144,15,CR,DeepHole,7/10/2020,10:25,Hypo,7.5,7.5,450,2,,CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505
C145,3,FE,DeepHole,7/15/2020,10:15,PML,0,1.5,450,1,,FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505
C146,3,FE,DeepHole,7/15/2020,10:15,PML,0,1.5,450,2,,FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505
C147,3,FE,DeepHole,7/15/2020,10:15,Hypo,8,8,450,1,,FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505
C148,3,FE,DeepHole,7/15/2020,10:15,Hypo,8,8,450,2,,FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505
C149,3,WL,DeepHole,7/15/2020,9:07,PML,0,2,450,1,,WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505
C150,3,WL,DeepHole,7/15/2020,9:07,PML,0,2,450,2,,WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505
C151,3,WL,DeepHole,7/15/2020,9:07,Hypo,8,8,450,1,,WL_DeepHole_20200715_0907_Hypo_8_Limno.Sample.20160505
C152,3,WL,DeepHole,7/15/2020,9:07,Hypo,8,8,450,2,,WL_DeepHole_20200715_0907_Hypo_8_Limno.Sample.20160505
C153,41,JO,DeepHole,7/16/2020,11:20,PML,0,2,450,1,,JO_DeepHole_20200716_1120_PML_2_Limno.Sample.20160505
C154,41,JO,DeepHole,7/16/2020,11:20,PML,0,2,450,2,,JO_DeepHole_20200716_1120_PML_2_Limno.Sample.20160505
C155,41,JO,DeepHole,7/16/2020,11:20,Hypo,4.5,4.5,450,1,,JO_DeepHole_20200716_1120_Hypo_4.5_Limno.Sample.20160505
C156,41,JO,DeepHole,7/16/2020,11:20,Hypo,4.5,4.5,450,2,,JO_DeepHole_20200716_1120_Hypo_4.5_Limno.Sample.20160505
C157,15,MO,DeepHole,7/20/2020,9:00,PML,0,1,450,1,,MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505
C158,15,MO,DeepHole,7/20/2020,9:00,PML,0,1,450,2,,MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505
C159,15,MO,DeepHole,7/20/2020,9:00,Hypo,4,4,250,1,,MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505
C160,15,MO,DeepHole,7/20/2020,9:00,Hypo,4,4,250,2,,MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505
C161,3,WL,DeepHole,7/21/2020,9:57,PML,0,2,450,1,,WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505
C162,3,WL,DeepHole,7/21/2020,9:57,PML,0,2,450,2,,WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505
C163,3,WL,DeepHole,7/21/2020,9:57,Hypo,8,8,450,1,,WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505
C164,3,WL,DeepHole,7/21/2020,9:57,Hypo,8,8,450,2,,WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505
C165,3,FE,DeepHole,7/22/2020,11:45,PML,0,2,450,1,,FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505
C166,3,FE,DeepHole,7/22/2020,11:45,PML,0,2,450,2,,FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505
C167,3,FE,DeepHole,7/22/2020,11:45,Hypo,8,8,450,1,,FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505
C168,3,FE,DeepHole,7/22/2020,11:45,Hypo,8,8,450,2,,FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505
C169,15,CR,DeepHole,7/23/2020,10:30,PML,0,3.5,450,1,,CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505
C170,15,CR,DeepHole,7/23/2020,10:30,PML,0,3.5,450,2,,CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505
C171,15,CR,DeepHole,7/23/2020,10:30,Hypo,8,8,450,1,,CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505
C172,15,CR,DeepHole,7/23/2020,10:30,Hypo,8,8,450,2,,CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505
C173,17,BA,DeepHole,7/27/2020,11:30,PML,0,2.5,450,1,,BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505
C174,17,BA,DeepHole,7/27/2020,11:30,PML,0,2.5,450,2,,BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505
C175,17,BA,DeepHole,7/27/2020,11:30,Hypo,7,7,450,1,,BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505
C176,17,BA,DeepHole,7/27/2020,11:30,Hypo,7,7,450,2,,BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505
C177,17,BR,DeepHole,7/27/2020,9:25,PML,0,2,450,1,,BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505
C178,17,BR,DeepHole,7/27/2020,9:25,PML,0,2,450,2,,BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505
C179,17,BR,DeepHole,7/27/2020,9:25,Hypo,4,4,450,1,,BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505
C180,17,BR,DeepHole,7/27/2020,9:25,Hypo,4,4,450,2,,BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505
C181,3,FE,DeepHole,7/28/2020,12:10,PML,0,1,450,1,,FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505
C182,3,FE,DeepHole,7/28/2020,12:10,PML,0,1,450,2,,FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505
C183,3,FE,DeepHole,7/28/2020,12:10,Hypo,8,8,450,1,,FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505
C184,3,FE,DeepHole,7/28/2020,12:10,Hypo,8,8,450,2,,FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505
C185,3,WL,DeepHole,7/28/2020,10:15,PML,0,1.5,450,1,,WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505
C186,3,WL,DeepHole,7/28/2020,10:15,PML,0,1.5,450,2,,WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505
