unfilteredID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,comments,sampleID
U102,15,MO,Inlet1,7/20/2020,9:00,Surface,0,0,,MO_Inlet1_20200720_0900_Surface_0_Limno.Sample.20160505
U103,15,MO,Inlet2,7/20/2020,9:00,Surface,0,0,,MO_Inlet2_20200720_0900_Surface_0_Limno.Sample.20160505
U104,15,MO,Inlet3,7/20/2020,9:00,Surface,0,0,,MO_Inlet3_20200720_0900_Surface_0_Limno.Sample.20160505
U105,3,WL,DeepHole,7/21/2020,9:57,PML,0,2,,WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505
U106,3,WL,DeepHole,7/21/2020,9:57,Hypo,8,8,,WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505
U107,3,FE,DeepHole,7/22/2020,11:45,PML,0,2,,FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505
U108,3,FE,DeepHole,7/22/2020,11:45,Hypo,8,8,,FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505
U109,3,FE,Inlet1,7/22/2020,11:45,Surface,0,0,,FE_Inlet1_20200722_1145_Surface_0_Limno.Sample.20160505
U110,15,CR,DeepHole,7/23/2020,10:30,PML,0,3.5,,CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505
U111,15,CR,DeepHole,7/23/2020,10:30,Hypo,8,8,,CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505
U112,15,CR,Outlet,7/23/2020,10:30,Surface,0,0,,CR_Outlet_20200723_1030_Surface_0_Limno.Sample.20160505
U113,17,BA,DeepHole,7/27/2020,11:30,PML,0,2.5,,BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505
U114,17,BA,DeepHole,7/27/2020,11:30,Hypo,7,7,,BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505
U115,17,BR,DeepHole,7/27/2020,9:25,PML,0,2,,BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505
U116,17,BR,DeepHole,7/27/2020,9:25,Hypo,4,4,,BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505
U117,3,FE,DeepHole,7/28/2020,12:10,PML,0,1,,FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505
U118,3,FE,DeepHole,7/28/2020,12:10,Hypo,8,8,,FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505
U119,3,FE,Inlet1,7/28/2020,12:10,Surface,0,0,,FE_Inlet1_20200728_1210_Surface_0_Limno.Sample.20160505
U120,3,WL,DeepHole,7/28/2020,10:15,PML,0,1.5,,WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505
U121,3,WL,DeepHole,7/28/2020,10:15,Hypo,8,8,,WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505
U122,17,PA,DeepHole,7/29/2020,10:15,PML,0,2.5,,PA_DeepHole_20200729_1015_PML_2.5_Limno.Sample.20160505
U123,17,PA,DeepHole,7/29/2020,10:15,Hypo,7,7,,PA_DeepHole_20200729_1015_Hypo_7_Limno.Sample.20160505
U124,17,PE,DeepHole,7/29/2020,8:45,PML,0,2,,PE_DeepHole_20200729_0845_PML_2_Limno.Sample.20160505
U125,17,PE,DeepHole,7/29/2020,8:45,Hypo,10,10,,PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505
U126,17,TU,DeepHole,7/29/2020,11:30,PML,0,1.5,,TU_DeepHole_20200729_1130_PML_1.5_Limno.Sample.20160505
U127,17,TU,DeepHole,7/29/2020,11:30,Hypo,6,6,,TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505
U128,15,MO,DeepHole,8/3/2020,8:50,PML,0,1,,MO_DeepHole_20200803_0850_PML_1_Limno.Sample.20160505
U129,15,MO,DeepHole,8/3/2020,8:50,Hypo,4,4,,MO_DeepHole_20200803_0850_Hypo_4_Limno.Sample.20160505
U130,15,MO,Inlet1,8/3/2020,8:50,Surface,0,0,,MO_Inlet1_20200803_0850_Surface_0_Limno.Sample.20160505
U131,15,MO,Inlet2,8/3/2020,8:50,Surface,0,0,,MO_Inlet2_20200803_0850_Surface_0_Limno.Sample.20160505
U132,15,MO,Inlet3,8/3/2020,8:50,Surface,0,0,,MO_Inlet3_20200803_0850_Surface_0_Limno.Sample.20160505
U133,3,FE,DeepHole,8/4/2020,10:45,PML,0,2,,FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505
U134,3,FE,DeepHole,8/4/2020,10:45,Hypo,8,8,,FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505
U135,3,FE,Inlet1,8/4/2020,10:45,Surface,0,0,,FE_Inlet1_20200804_1045_Surface_0_Limno.Sample.20160505
U136,3,WL,DeepHole,8/4/2020,8:45,PML,0,2.5,,WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505
U137,3,WL,DeepHole,8/4/2020,8:45,Hypo,8,8,,WL_DeepHole_20200804_0845_Hypo_8_Limno.Sample.20160505
U138,15,HB,DeepHole,8/5/2020,8:55,PML,0,1,,HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505
U139,15,HB,DeepHole,8/5/2020,8:55,Hypo,4,4,,HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505
U140,15,HB,Outlet,8/5/2020,8:55,Surface,0,0,,HB_Outlet_20200805_0855_Surface_0_Limno.Sample.20160505
U141,15,CR,DeepHole,8/6/2020,9:22,PML,0,3.5,,CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505
U142,15,CR,DeepHole,8/6/2020,9:22,Hypo,8,8,,CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505
U143,15,CR,Outlet,8/6/2020,9:22,Surface,0,0,,CR_Outlet_20200806_0922_Surface_0_Limno.Sample.20160505
U144,3,FE,DeepHole,8/11/2020,10:45,PML,0,1,,FE_DeepHole_20200811_1045_PML_1_Limno.Sample.20160505
