"lakeID","lakeName","state","county","city","surfaceArea","maxDepth","lat","long","latLongSource","WBIC","comments","updateID"
"EW","Elbow Lake","MI","Gogebic","Marenisco",10.5,8.7,46.35157862,-89.78157924,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"FD","Found","WI","Vilas","NA",NA,NA,45.95051633,-89.45326334,"Lake finder app","1593800","NA","lakesLatLongUpdate.20201005"
"FE","Far East Long","MI","Gogebic","UNDERC",NA,14.02,46.23641,-89.494734,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"FO","Foggy","MI","Gogebic","UNDERC",NA,NA,46.25308597,-89.4861911,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"FR","Forest","WI","Vilas","Land O' Lakes",189,18.3,46.14909992,-89.37628574,"Lake finder app","2762200","NA","lakesLatLongUpdate.20201005"
"FT","Feeding Trial","MI","Gogebic","UNDERC",NA,NA,46.223947,-89.522457,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"GA","Garver","MI","Cass","Edwardsburg",30.75,12.8,41.77897122,-86.05043897,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"GL","Gunlock Lake","WI","Vilas","Lac du Flambeau",106,7.9,45.91299418,-89.82013082,"Lake finder app","1539700","NA","lakesLatLongUpdate.20201005"
"GV","Gravel","MI","Van Buren","Decatur",119.78,15.54,42.07663167,-85.86638357,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"HB","Hummingbird","MI","Gogebic","UNDERC",0.75,7.62,46.243666,-89.505901,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"HE","Helmet","WI","Vilas","Presque Isle",2.83,11,46.191257,-89.639142,"Google maps (approximate center)","2763200","NA","lakesLatLongUpdate.20201005"
"HH","Horsehead","WI","Vilas","Presque Isle",101.2,9.7,46.23325402,-89.7153411,"Lake finder app","2953100","NA","lakesLatLongUpdate.20201005"
"HL","Helen","MI","Gogebic","Watersmeet",67.7,8.5,46.24521525,-89.34097954,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
